교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
사회복지실천과현장,,0,0,0,0,0,0,0,0,0,4.67,0,핵심교양,SYB9125-15483,2,시간미지정강좌,
성공하는문화콘텐츠소재개발전략,,11,85,4,91,7,2,61,33,5,4.47,0,핵심교양,SYB9096-15493,3,시간미지정강좌,
미래소비사회와상품,,20,75,5,92,7,1,84,12,4,4.75,0,핵심교양,SYB9102-15494,2,시간미지정강좌,
21세기기업의인재상,,28,70,2,93,7,0,95,4,0,4.87,0,핵심교양,SYB9071-15497,3,시간미지정강좌,
글로벌시대의예술과가치,,27,70,4,94,5,1,41,48,11,4.15,0,핵심교양,SYB9036-15498,3,시간미지정강좌,
색채심리와현대생활,,85,14,1,95,5,0,93,7,0,4.96,0,핵심교양,SYB9082-15499,3,시간미지정강좌,
"화폐와금융의과거,현재,그리고미래",,89,10,0,94,6,0,75,21,4,4.58,0,핵심교양,SYB9112-15504,3,시간미지정강좌,
음식과세계문화,,21,76,3,90,10,0,56,39,5,4.25,0,핵심교양,SYB9035-15505,3,시간미지정강좌,
그린IT의이해,,5,94,1,96,4,0,41,44,15,3.95,0,핵심교양,SYB9030-15507,3,시간미지정강좌,
정보사회학입문,,34,56,11,92,7,1,26,47,27,3.37,0,핵심교양,SYB1127-15489,3,시간미지정강좌,
커피아카데미아,,88,9,3,84,16,0,41,47,13,4.34,0,핵심교양,SYB1148-15482,2,시간미지정강좌,
문화콘텐츠스토리텔링전략,,79,19,3,87,12,0,45,24,31,3.22,0,핵심교양,SYB8099-15490,3,시간미지정강좌,
문화기술과사회변동,,75,23,2,88,11,1,54,20,27,3.72,0,핵심교양,SYB9031-15491,3,시간미지정강좌,
문화콘텐츠마케팅전략의수립과집행,,88,12,1,95,3,1,77,21,3,4.77,0,핵심교양,SYB9032-15492,3,시간미지정강좌,
저작권과스마트폰의이해,,27,72,1,95,5,0,81,13,6,4.76,0,핵심교양,SYB1128-15495,2,시간미지정강좌,
생활속의계약과협상,,15,83,2,95,5,0,90,8,2,4.81,0,핵심교양,SYB9098-15500,3,시간미지정강좌,
전략적의사결정과문제해결,,6,78,16,94,6,0,24,38,38,2.66,0,핵심교양,SYB9099-15501,3,시간미지정강좌,
행복한금융생활,,62,31,7,87,12,1,50,27,24,3.95,0,핵심교양,SYB9103-15502,3,시간미지정강좌,
현대사회와신소재,,10,74,16,92,7,2,83,14,3,4.73,0,핵심교양,SYB9104-15503,3,시간미지정강좌,
1인미디어와융합콘텐츠,,7,77,16,96,4,0,32,59,10,3.88,0,핵심교양,SYB8098-15506,3,시간미지정강좌,
