교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
지진과생활,이승규,10,77,13,91,9,1,58,38,3,3.98,0,핵심교양,CUL2075-15037,2,수(11:00-13:00),제2공학관202강의실(녹화전용)
4차산업혁명과환경기술,김영모,25,70,5,90,10,0,95,5,0,5.00,0,핵심교양,GEN9180-15137,3,"월(16:00-17:30),월(17:30-19:00)",재성토목관302강의실
4차산업혁명의이해,조병완,0,0,0,0,0,0,0,0,0,2.33,0,핵심교양,CUL0128-15138,3,"목(16:00-17:30),목(17:30-19:00)",재성토목관사이버강의실204호
주거학개론,박다연,48,53,0,100,0,0,41,57,1,4.56,0,핵심교양,CUL5001-15139,2,화(09:00-11:00),제2공학관301강의실
생활속의화학,김민경,62,36,2,96,4,1,52,45,3,4.54,0,핵심교양,GEN6086-15124,2,수(11:00-13:00),사범대학본관계단강의실(312)
성인병과운동,석민화,79,21,0,100,0,0,38,62,0,4.31,0,핵심교양,CUL6003-15209,2,월(11:00-13:00),올림픽체육관230강의실
뉴스포츠,유현기,80,17,2,17,72,11,100,0,0,5.00,0,핵심교양,CUL1202-15169,2,수(11:00-13:00),올림픽체육관114호농구장
뉴스포츠,유현기,80,17,2,17,72,11,100,0,0,5.00,0,핵심교양,CUL1202-15170,2,수(09:00-11:00),올림픽체육관114호농구장
로봇시대의논쟁,이채리,36,64,0,18,73,9,82,18,0,4.73,0,핵심교양,CUL1233-15093,3,"금(16:00-17:30),금(17:30-19:00)",제1공학관408강의실
몸과마음을읽는헬스케어,김형숙,60,35,5,0,30,70,90,10,0,4.85,0,핵심교양,CUL1188-15459,3,"수(13:00-14:00),수(14:00-16:00)",한양디지털헬스케어센터다목적강연장
과학기술학의새로운지평,김성희,21,56,24,9,71,21,59,26,15,3.71,0,핵심교양,CUL6037-15003,2,목(13:00-15:00),제2공학관203강의실
과학과대중,박민아,45,55,0,73,18,9,73,27,0,4.73,0,핵심교양,CUL1223-15029,3,"수(13:00-14:30),수(14:30-16:00)",제1공학관209강의실
기초법의학,김원규,5,79,16,92,7,1,19,67,14,4.60,0,핵심교양,CUL0126-15252,2,금(09:00-11:00),제1공학관201강의실
기초법의학,김원규,5,79,16,92,7,1,19,67,14,4.60,0,핵심교양,CUL0126-15253,2,금(15:00-17:00),의대계단강의동202강의실
인문대생을위한객체지향프로그래밍,김윤상,50,50,0,100,0,0,100,0,0,4.67,0,핵심교양,FUT3012-15277,3,금(13:00-16:00),인문관107강의실
가상/증강현실의예술,정해진,0,43,57,79,14,7,7,71,21,4.29,0,핵심교양,FUT2001-15278,3,"월(16:00-18:00),월(18:00-19:00)",제2공학관정석현PC4
아르테와테크네의만남,정해진,8,58,33,58,25,17,25,67,8,4.25,0,핵심교양,FUT1001-15279,3,"월(09:00-10:30),월(10:30-12:00)",인문관318강의실
데이터과학트렌드,계승철,20,75,5,100,0,0,95,5,0,4.45,0,핵심교양,FUT1007-15280,3,금(11:00-13:00),"비지정(),인문관107강의실"
미래지구환경과생태계,김백호,5,74,21,86,14,0,62,21,17,4.24,0,핵심교양,GEN4075-15128,2,목(13:00-15:00),자연과학관B116강의실
식생활과안전,엄애선,45,55,0,100,0,0,9,73,18,1.64,0,핵심교양,CUL6048-15106,2,수(13:00-15:00),생활과학관B34-B101
구급법,성기석,73,27,0,81,19,0,36,46,19,3.77,0,핵심교양,GEN3086-15208,2,수(11:00-13:00),올림픽체육관230강의실
혁신과잡종의과학사,남영,20,66,14,87,12,1,32,42,26,4.39,0,핵심교양,GEN6058-15038,2,목(09:00-11:00),제2공학관203강의실
생명공학의이해,김백호,10,46,44,82,16,2,36,54,10,4.04,0,핵심교양,CUL6025-15127,2,화(13:00-15:00),자연과학관B116강의실
미생물의세계,이진원,92,8,0,92,8,0,34,62,4,4.18,0,핵심교양,CUL1136-15133,2,월(11:00-13:00),자연과학관102강의실
사람과유전자,채지형,32,65,3,27,59,14,29,66,5,4.68,0,핵심교양,GEN4073-15134,2,수(13:00-15:00),자연과학관118강의실
과학의탈국가화,정혜경,52,48,0,8,84,8,100,0,0,5.00,0,핵심교양,CUL1224-15036,3,"목(13:00-14:30),목(14:30-16:00)",제1공학관505강의실
과학자의리더십,남영,62,33,4,93,4,2,20,47,33,4.36,0,핵심교양,GEN8039-15039,2,목(11:00-13:00),제2공학관203강의실
