교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
스크린영어,Connie Park,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,CUL3036-15311,3,"토(13:00-14:30),토(14:30-16:00)",인문관116강의실
스크린영어,박주영,없음,없음,없음,없음,없음,없음,없음,없음,없음,4.50,0,핵심교양,CUL3036-15312,3,"목(16:00-17:30),목(17:30-19:00)",인문관404강의실
초급일본어,김주연,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,GEN2094-15114,3,"월(09:00-10:30),월(10:30-12:00)",제1공학관602강의실
초급일본어,전유나,6,76,18,63,35,2,29,64,7,4.30,0,핵심교양,GEN2094-15115,3,"화(09:00-10:30),화(10:30-12:00)",제1공학관602강의실
초급일본어,오수진,60,33,7,71,22,8,35,56,9,4.30,0,핵심교양,GEN2094-15116,3,"목(09:00-10:30),목(10:30-12:00)",제1공학관602강의실
초급일본어,소서현,0,74,26,61,39,0,35,61,4,4.61,0,핵심교양,GEN2094-15117,3,"금(13:00-14:30),금(14:30-16:00)",제2공학관510강의실(녹화전용)
기초스페인어,진미령,0,0,0,0,0,0,0,0,0,4.67,0,핵심교양,GEN5014-15009,3,화(09:00-11:00),"제1공학관603강의실,"
기초스페인어,정동희,72,26,2,96,4,0,56,42,3,4.62,0,핵심교양,GEN5014-15010,3,금(13:00-15:00),"제2공학관203강의실,"
라틴아메리카문화와예술,정동희,32,66,1,93,7,0,51,46,2,4.51,0,핵심교양,CUL5018-15012,3,"금(09:00-10:30),금(10:30-12:00)",제2공학관202강의실(녹화전용)
초급독일어회화,Wirsching Cornelia Song,43,43,14,7,43,50,79,21,0,4.50,0,핵심교양,GEN7034-15270,2,수(11:00-13:00),인문관205강의실
비즈니스글쓰기:설득의방법,Ian Gareth Robert Jones,0,42,58,0,17,83,33,33,33,3.33,0,핵심교양,CUL1169-15066,3,"화(13:00-14:30),금(13:00-14:30)",제1공학관604강의실(녹화전용)
이공계를위한영어글쓰기,Adam Turner,0,0,0,0,0,0,0,0,0,3.67,0,핵심교양,CUL1168-15067,3,"월(13:00-14:30),목(14:30-16:00)",인문관111강의실
초급독일어,김수민,55,36,9,100,0,0,27,73,0,3.55,0,핵심교양,GEN1040-15268,3,"금(13:00-14:30),금(14:30-16:00)",인문관312강의실
초급독일어,최지수,94,6,0,35,41,24,41,59,0,4.94,0,핵심교양,GEN1040-15269,3,"화(13:00-14:30),화(14:30-16:00)",인문관404강의실
고급영어토론:설득의기술,Stacey Eujung Choi,5,20,75,0,20,80,60,30,10,4.60,0,핵심교양,CUL1170-15064,3,"수(10:30-12:00),금(10:30-12:00)",제1공학관504강의실
고급영어토론:협상의기술,Brian A. Wildeboer,0,0,0,0,0,0,0,0,0,4.38,0,핵심교양,CUL1171-15065,3,"월(14:30-16:00),목(16:00-17:30)",제2공학관209강의실
비즈니스영어업무커뮤니케이션,Michael William Brandon,2,35,63,6,60,35,58,35,8,4.10,0,핵심교양,GEN7028-15075,2,수(11:00-13:00),인문관211강의실
비즈니스영어업무커뮤니케이션,Douglas N. McIntosh,5,38,57,5,57,38,45,28,28,3.93,0,핵심교양,GEN7028-15076,2,화(11:00-13:00),인문관211강의실
영어연기개론,Shelley L. Collins,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,GEN5072-15082,2,목(13:00-15:00),제1공학관207강의실
영어와남녀의사소통의차이,Mimi Eun Newton,14,80,6,0,66,34,63,20,17,3.46,0,핵심교양,GEN7030-15083,2,금(13:00-15:00),제2공학관312강의실
영어와창의적논리적사고,Michael William Brandon,18,41,41,12,53,35,82,18,0,4.41,0,핵심교양,GEN7024-15085,2,수(13:00-15:00),인문관121강의실
취업영어커뮤니케이션,Matthew John Clement,0,26,74,17,29,54,23,60,17,3.89,0,핵심교양,GEN7027-15089,2,목(13:00-15:00),제2공학관312강의실
엔지니어를위한학술영작문,임동진,63,37,0,84,16,0,84,16,0,4.84,0,핵심교양,FUT3006-15289,3,"월(13:00-14:30),월(14:30-16:00)",인문관318강의실
실용영문법,김경숙,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,ENG4017-15419,3,"토(09:00-10:30),토(10:30-12:00)",제2공학관312강의실
중급일본어,배소연,71,29,0,96,4,0,67,33,0,4.80,0,핵심교양,GEN2095-15113,2,수(09:00-11:00),제1공학관603강의실
현대중국의시장과통상,장보영,28,44,28,6,44,50,33,50,17,3.39,0,핵심교양,CUL5067-15102,2,목(13:00-15:00),대학원.토건관202강의실
중급스페인어,진미령,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,GEN1035-15011,2,화(11:00-13:00),제1공학관603강의실
중급독일어회화,Wirsching Cornelia Song,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,GEN8003-15267,2,수(13:00-15:00),인문관404강의실
비판적글읽기,Ian Gareth Robert Jones,0,54,46,79,21,0,57,25,18,4.32,0,핵심교양,GEN7038-15077,2,월(13:00-15:00),제1공학관507강의실
영어와창의적논리적사고,Luke Oliver Allum,0,50,50,6,17,78,33,56,11,4.22,0,핵심교양,GEN7024-15086,2,목(15:00-17:00),제1공학관207강의실
취업영어커뮤니케이션,Matthew John Clement,0,26,74,17,29,54,23,60,17,3.89,0,핵심교양,GEN7027-15088,2,월(13:00-15:00),제2공학관312강의실
중급중국어,유우,35,65,0,95,5,0,95,5,0,5.00,0,핵심교양,GEN1043-15447,2,금(13:00-15:00),제1공학관201강의실
Banking & Investment Practice,신진호,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,DIS0016-15404,2,목(16:00-18:00),대학원.토건관202강의실
시나리오영작문,Hugh Newton,7,63,30,17,25,58,24,44,32,3.68,0,핵심교양,GEN7029-15078,2,목(13:00-15:00),제1공학관206강의실
시나리오영작문,Hugh Newton,7,63,30,17,25,58,24,44,32,3.68,0,핵심교양,GEN7029-15079,2,목(15:00-17:00),제1공학관206강의실
영어말하기및표현연습2(영어노래분석과표현기법),Esther du Plessis,0,63,37,26,44,30,52,33,15,4.81,0,핵심교양,GEN7044-15081,2,월(13:00-15:00),인문관121강의실
영어와스포츠,Ed Topliffe,3,35,62,30,48,22,43,34,23,4.00,0,핵심교양,GEN7023-15084,2,월(15:00-17:00),인문관121강의실
창의적글쓰기,Shelley L. Collins,1,45,53,22,68,10,69,27,4,4.57,0,핵심교양,GEN7041-15087,2,화(11:00-13:00),인문관112강의실
실용일어회화,최경옥,59,31,10,77,22,1,36,54,10,3.92,0,핵심교양,CUL5057-15118,2,화(13:00-15:00),제1공학관602강의실
실용일어회화,소서현,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL5057-15119,2,금(11:00-13:00),제2공학관510강의실(녹화전용)
프랑스문화관광,이숙은,28,66,5,38,50,12,44,49,7,4.07,0,핵심교양,CUL0076-15120,2,금(15:00-17:00),제2공학관202강의실(녹화전용)
기초프랑스어,문규영,24,73,4,35,40,25,82,16,2,4.89,0,핵심교양,FRE1055-15121,3,"수(13:00-14:30),수(14:30-16:00)",제1공학관603강의실
기초프랑스어,문규영,24,73,4,35,40,25,82,16,2,4.89,0,핵심교양,FRE1055-15122,3,"수(16:00-17:30),수(17:30-19:00)",제1공학관603강의실
효과적인영어어휘학습전략,이광희,68,21,11,89,11,0,37,47,16,3.37,0,핵심교양,CUL1203-15458,3,"월(16:00-17:30),월(17:30-19:00)",제1공학관501강의실
멀티미디어영작문,Ian Gareth Robert Jones,0,12,88,0,23,77,42,19,38,3.31,0,핵심교양,GEN7025-15333,2,목(13:00-15:00),제2공학관정석현PC1
멀티미디어영작문,Matthew John Clement,0,3,97,3,35,62,53,32,15,4.03,0,핵심교양,GEN7025-15334,2,목(15:00-17:00),제2공학관정석현PC1
고급한국어,전은진,16,78,6,80,19,2,69,25,6,4.77,0,핵심교양,GEN6064-15046,3,시간미지정강좌,
영어말하기및표현연습2(영어노래분석과표현기법),Gary Joseph Turnham,10,80,11,33,49,18,23,33,45,4.00,0,핵심교양,GEN7044-15080,2,금(11:00-13:00),인문관121강의실
초급중국어1,유우,70,26,4,96,4,0,67,30,4,4.48,0,핵심교양,GEN3041-15435,3,금(11:00-13:00),"제1공학관201강의실,"
