교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
지적재산법,임병웅,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,0,핵심교양,GEN5010-15236,2,목(11:00-13:00),제3법학관601호
창업실무:엔엘코드(No-LowCode)를활용한IT서비스기획,백필호,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양/전공심화,VEN3025-15350,3,월(16:00-19:00),HITB2아이디어팩토리
창업심화:스타트업 A to Z,윤준수,6,76,18,0,47,53,29,47,24,3.71,0,핵심교양/전공핵심,VEN2003-15351,3,"수(09:00-10:00),수(10:00-12:00)",HITB2아이디어팩토리
창업기초:글로벌스타트업멘토링,강창규,9,74,17,81,17,2,47,53,0,4.85,0,핵심교양/전공심화,VEN3008-15343,3,"월(13:00-14:00),월(14:00-16:00)",HITB2아이디어팩토리
창업기초:창업과기업가정신,배태준,45,43,11,75,23,2,36,47,17,4.15,0,핵심교양/전공핵심,VEN2001-15348,3,금(11:00-13:00),"사회과학관551강의실,"
미시경제원론,김광호,92,6,2,94,5,2,19,56,24,4.16,0,핵심교양,ECO1006-15238,2,화(11:00-13:00),경제금융관112강의실
성공취업의이해,안태정,24,74,1,96,3,1,85,15,1,4.58,0,핵심교양,CUL0125-15218,2,월(13:00-15:00),제2공학관301강의실
성공취업의이해,안태정,24,74,1,96,3,1,85,15,1,4.58,0,핵심교양,CUL0125-15219,2,월(15:00-17:00),제2공학관301강의실
성공취업의이해,홍주영,49,46,4,68,31,1,91,9,0,4.75,0,핵심교양,CUL0125-15220,2,화(15:00-17:00),제2공학관301강의실
직업진로와미래설계,홍주영,45,53,2,66,32,2,96,4,0,4.81,0,핵심교양,CUL6004-15221,2,수(15:00-17:00),제2공학관301강의실
기술시장데이터분석,최재영,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,핵심교양,CUL1208-15222,3,"수(13:00-14:30),수(14:30-16:00)",융합교육관강의실(705-602)
기술전략과R&D기획,조대명,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,핵심교양,CUL1209-15223,3,"수(09:00-10:30),수(10:30-12:00)",융합교육관강의실(705-602)
전기에너지개론,문준,8,76,16,99,1,0,95,5,0,4.93,0,핵심교양,CUL1185-15141,3,시간미지정강좌,
생태친화적기업경영,안광일,13,64,24,93,7,0,23,63,14,3.51,0,핵심교양,GEN7045-15043,3,시간미지정강좌,
상상과창조,이지은,35,57,8,93,5,1,32,45,23,3.60,0,핵심교양,GEN6023-15044,3,시간미지정강좌,
아시아시장과소비자,언초,17,83,0,0,50,50,75,25,0,4.75,0,핵심교양,CUL1159-15103,3,"화(13:00-15:00),화(15:00-16:00)",경영관B109강의실
AI혁명:최첨단비즈니스전략마스터하기,박성우,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,CUL1229-15104,3,"화(18:00-19:30),화(19:30-21:00)",경영관B110강의실
유쾌한이노베이션,정효찬,21,70,9,4,31,65,33,59,7,3.93,0,핵심교양,INO0001-15025,2,목(11:00-13:00),제1공학관201강의실
유쾌한이노베이션,정효찬,21,70,9,4,31,65,33,59,7,3.93,0,핵심교양,INO0001-15027,2,목(15:00-17:00),제1공학관201강의실
문화비즈니스와리더십,김현주,6,70,24,94,6,0,91,9,1,4.59,0,핵심교양,CUL7011-15020,2,수(13:00-15:00),백남음악관백남홀
로봇의이해,이재수,88,12,0,71,29,0,88,12,0,4.94,0,핵심교양,CUL1167-15326,3,"수(13:00-15:00),수(15:00-17:00)",제2공학관COBOT센터
로봇의이해,이태영,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL1167-15329,3,"목(13:00-15:00),목(15:00-17:00)",제2공학관COBOT센터
스마트장치의이해,오승연,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL1214-15330,2,"월(15:00-16:00),월(16:00-18:00)",제2공학관휴온스팹랩창의공간
스마트장치의이해,오승연,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL1214-15331,2,"화(16:00-17:00),화(17:00-19:00)",제2공학관휴온스팹랩창의공간
CEO세미나(혁신과변화),김종식,42,57,1,93,7,0,95,5,0,4.87,0,핵심교양,CUL6069-15002,2,화(15:00-17:00),제1공학관103강의실
창업실무:쉽게배우는모바일앱개발,여지영,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양/전공핵심,VEN3019-15344,3,목(16:00-19:00),HITB2아이디어팩토리
항공업진로의탐색,권나은,73,27,0,99,1,0,65,23,12,4.55,0,핵심교양,CUL1158-15355,3,"금(13:00-14:30),금(14:30-16:00)",사회과학관103강의실
품위있는사회와지속가능성을위한의제들,조명희,27,45,27,27,36,36,100,0,0,4.82,0,핵심교양,FUT3011-15288,3,"화(09:00-10:30),화(10:30-12:00)",인문관B104강의실
창업실습:캡스톤디자인,박정배,0,0,0,0,0,0,0,0,0,4.13,0,핵심교양/전공핵심,VEN4001-15338,3,화(09:00-12:00),HITB2아이디어팩토리
창업실습2,강창규,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양/전공심화,VEN3007-15340,3,화(19:00-22:00),HITB2아이디어팩토리
창업실습:스타트랙1,강창규,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양/전공심화,VEN3014-15345,3,"수(19:00-20:00),수(20:00-22:00)",HITB2아이디어팩토리
창업심화:스타트업마케팅,김경열,없음,없음,없음,없음,없음,없음,없음,없음,없음,4.50,0,핵심교양/전공핵심,VEN2018-15346,3,"수(13:00-14:00),수(14:00-16:00)",경영관501강의실
창업기초:사업기회의발견,박서기,0,100,0,79,16,5,26,47,26,3.32,0,핵심교양/전공핵심,VEN2017-15349,3,"화(13:00-15:00),화(15:00-16:00)",HITB2아이디어팩토리
항공업진로의탐색,김혜림,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,CUL1158-15360,3,"금(09:00-10:30),금(10:30-12:00)",사회과학관304강의실
유쾌한이노베이션,정효찬,21,70,9,4,31,65,33,59,7,3.93,0,핵심교양,INO0001-15026,2,목(13:00-15:00),제1공학관201강의실
로봇의이해,이재수,88,12,0,71,29,0,88,12,0,4.94,0,핵심교양,CUL1167-15327,3,"수(13:00-15:00),수(15:00-17:00)",제2공학관휴온스팹랩창의공간
로봇의이해,이태영,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL1167-15328,3,"목(13:00-15:00),목(15:00-17:00)",제2공학관휴온스팹랩창의공간
스마트장치의이해,이태영,0,0,0,0,0,0,0,0,0,4.83,0,핵심교양,CUL1214-15332,2,"화(13:00-14:00),화(14:00-16:00)",제2공학관휴온스팹랩창의공간
4차산업혁명핵심기술의이해,김철환,14,61,25,66,29,5,82,16,2,3.99,0,핵심교양,CUL1139-15001,2,금(13:00-15:00),제2공학관202강의실(녹화전용)
버추얼피트니스이노베이션,김성민,5,59,36,0,36,64,91,5,5,3.18,0,핵심교양,CUL1165-15210,3,"수(14:00-15:00),수(15:00-17:00)",올림픽체육관332강의실
특허법의이해,윤선희,95,4,1,96,4,0,51,34,15,3.90,0,핵심교양/전공심화,GEN6006-15040,2,화(15:00-17:00),제2공학관302강의실
창업기초:사회적기업가정신액션러닝,이호영,15,77,8,0,36,64,58,36,6,4.87,0,핵심교양/전공핵심,VEN2014-15341,3,"목(13:00-14:00),목(14:00-16:00)",HITB2아이디어팩토리
창업기초:사회적기업가정신액션러닝,신현상,0,0,0,0,0,0,0,0,0,4.33,0,핵심교양,VEN2014-15342,3,"금(13:00-14:00),금(14:00-16:00)",경영관306강의실
스타트업토크콘서트,류창완,24,72,5,90,10,0,82,18,0,4.62,0,핵심교양/전공핵심,VEN6001-15347,2,수(13:00-15:00),제2공학관202강의실(녹화전용)
창업실습:실전창업워크숍,이재만,0,0,0,0,0,0,0,0,0,4.67,0,핵심교양/전공핵심,VEN2002-15335,3,수(16:00-19:00),HITB2아이디어팩토리
창업심화:스타트업경영전략,배태준,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양/전공심화,VEN4006-15336,3,"월(13:00-14:30),월(14:30-16:00)",사회과학관551강의실
창업기초:스타트업기업가정신의이해와사례,백필호,21,77,3,88,12,0,82,17,1,4.86,0,핵심교양,VEN2009-15337,3,"월(09:00-10:30),월(10:30-12:00)",HITB2아이디어팩토리
아프리카창업아카데미,김성수,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL1235-15358,2,목(11:00-13:00),사회과학관103강의실
인간관계훈련,조희원,4,68,28,6,22,72,44,39,17,4.08,0,핵심교양,GEN4029-15243,2,화(13:00-15:00),사범대학본관대강의실3(303)
Understanding the new business environment,김상범,8,68,24,19,46,35,51,30,19,2.97,0,핵심교양,CUL0116-15403,2,화(19:00-21:00),대학원.토건관201강의실
기업경영과비즈니스전략,신민수,10,54,36,90,9,1,27,66,7,3.13,0,핵심교양,GEN7046-15045,3,시간미지정강좌,
인간관계훈련,조희원,4,68,28,6,22,72,44,39,17,4.08,0,핵심교양,GEN4029-15244,2,화(15:00-17:00),사범대학본관대강의실3(303)
필수비즈니스한자,김의정,없음,없음,없음,없음,없음,없음,없음,없음,없음,1.00,0,핵심교양,CUL5042-15318,2,화(13:00-15:00),제1공학관103강의실
4차산업혁명과비즈니스,이창원,6,54,40,93,7,0,70,27,4,4.13,0,핵심교양,CUL1131-15430,2,화(13:00-15:00),경영관B110강의실
