교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
금융상품과조세의이해,문성훈,41,41,19,81,15,4,4,78,19,2.63,0,핵심교양,CUL7103-15226,3,"월(13:00-14:30),월(14:30-16:00)",제3법학관603호
시민생활과세법,오윤,33,67,0,87,12,2,45,50,5,4.45,0,핵심교양,CUL0141-15227,3,"월(13:00-14:30),월(14:30-16:00)",제3법학관304호
생활법률,권대우,79,20,1,86,13,1,28,67,6,3.46,0,핵심교양,GEN3016-15229,2,화(09:00-11:00),제3법학관403호
생활법률,최영승,72,28,0,97,3,0,28,67,5,4.57,0,핵심교양,GEN3016-15230,2,수(13:00-15:00),제3법학관102호
형법의이해,박세영,96,4,0,98,2,0,38,60,2,4.21,0,핵심교양,CUL1151-15233,3,"목(13:00-14:30),목(14:30-16:00)",제3법학관602호
자기를찾아가는에니어그램,정기수,64,34,1,70,24,6,81,19,0,4.37,0,핵심교양,CUL1129-15432,2,목(15:00-17:00),제1공학관209강의실
소통과갈등의이해,박철곤,47,53,0,26,53,21,26,63,11,4.00,0,핵심교양,CUL1210-15449,2,수(11:00-13:00),제1공학관201강의실
가족문제,안윤영,13,84,3,88,12,1,41,54,5,4.47,0,핵심교양,CUL2025-15216,2,수(11:00-13:00),제1공학관503강의실
통일함께만들기,홍용표,14,80,6,93,7,0,94,6,0,4.93,0,핵심교양,CUL0111-15433,3,"화(10:00-11:30),화(11:30-13:00)",제2공학관302강의실
대중문화와법,박성호,4,80,16,93,7,0,24,66,9,4.65,0,핵심교양,GEN6007-15231,2,목(09:00-11:00),제3법학관403호
일의세계와노동법,고수현,99,1,0,87,13,0,37,57,5,4.84,0,핵심교양,CUL7107-15232,3,"목(13:00-14:30),목(14:30-16:00)",제3법학관304호
헌법의이해,김휘홍,없음,없음,없음,없음,없음,없음,없음,없음,없음,4.50,0,핵심교양,CUL1150-15234,3,"수(13:00-14:30),수(14:30-16:00)",제3법학관204호
인간다운생활과사회보장법,장승혁,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,CUL1237-15237,3,"목(16:00-17:30),목(17:30-19:00)",제3법학관204호
