교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
창의적프로그래밍,장병철,8,33,58,8,83,8,17,58,25,2.92,0,핵심교양,CUL1122-15485,2,"목(17:00-18:00),목(18:00-19:00)",제2공학관최병부SW실습실(303)
인문학도를위한창의적코딩,성기혁,93,7,0,93,7,0,64,36,0,4.57,0,핵심교양,CUL1226-15418,2,"목(11:00-12:00),목(12:00-13:00)",제2공학관최병부SW실습실(303)
AI+X:딥러닝,원영준,4,65,31,28,56,16,22,57,22,3.22,0,핵심교양,AIX0003-15390,3,화(13:00-15:00),"제1공학관201강의실,"
AI+X:인공지능,류호경,9,51,40,92,6,2,84,10,7,4.49,0,핵심교양,AIX0002-15396,3,목(09:00-11:00),"제1공학관201강의실,"
AI+X:R-Py컴퓨팅,이정환,2,45,53,92,7,1,54,39,7,3.22,0,핵심교양,AIX0004-15378,3,월(09:00-11:00),"제1공학관201강의실,"
AI+X:머신러닝,박태준,3,59,38,91,8,1,74,25,0,4.61,0,핵심교양,AIX0005-15384,3,화(11:00-13:00),"제1공학관201강의실,"
창의적프로그래밍,조인순,7,87,7,100,0,0,33,67,0,4.87,0,핵심교양,CUL1122-15416,2,"금(11:00-12:00),금(12:00-13:00)",제2공학관최병부SW실습실(303)
인공지능과기계학습,장병철,0,0,0,0,0,0,0,0,0,4.75,0,핵심교양,CUL1138-15417,2,화(11:00-13:00),제2공학관SW융합실습실(507)
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,0,핵심교양,CUL1138-15514,2,시간미지정강좌,
창의적프로그래밍,박주열,0,33,67,96,0,4,0,71,29,1.92,0,핵심교양,CUL1122-15517,2,"수(11:00-12:00),수(12:00-13:00)",제2공학관해동AILab_402
