교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
사회봉사,,56,28,16,83,9,8,65,31,4,3.15,0,핵심교양,GEN4079-15508,1,시간미지정강좌,
현장실습(일반교양),김태식,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,JOB2003-15511,15,시간미지정강좌,
요가,최현주,89,9,2,72,28,0,92,6,2,4.83,0,핵심교양,CUL5013-15196,2,월(11:00-13:00),올림픽체육관116호사교무용홀
요가,최현주,89,9,2,72,28,0,92,6,2,4.83,0,핵심교양,CUL5013-15197,2,월(13:00-15:00),올림픽체육관116호사교무용홀
교양배구1,양진웅,93,7,1,88,10,2,99,1,0,4.89,0,핵심교양,CUL4032-15198,2,화(13:00-15:00),올림픽체육관메인홀
교양배구1,양진웅,93,7,1,88,10,2,99,1,0,4.89,0,핵심교양,CUL4032-15199,2,화(15:00-17:00),올림픽체육관메인홀
필라테스,정경화,59,35,6,62,33,5,92,8,0,4.89,0,핵심교양,DAN1037-15200,2,수(09:00-11:00),올림픽체육관116호사교무용홀
필라테스,황민경,59,37,4,27,37,36,90,10,0,4.79,0,핵심교양,DAN1037-15203,2,화(11:00-13:00),올림픽체육관116호사교무용홀
필라테스,순아름,90,10,0,100,0,0,90,10,0,5.00,0,핵심교양,DAN1037-15204,2,금(09:00-11:00),올림픽체육관116호사교무용홀
교양댄스스포츠,김현진,67,33,1,38,43,19,93,7,0,4.80,0,핵심교양,CUL3016-15205,2,목(11:00-13:00),올림픽체육관116호사교무용홀
교양펜싱,김정환,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,0,핵심교양,CUL1236-15171,2,수(13:00-15:00),올림픽체육관114호농구장
교양펜싱,배종국,0,0,0,0,0,0,0,0,0,5.00,0,핵심교양,CUL1236-15172,2,수(15:00-17:00),올림픽체육관114호농구장
운동과다이어트,김다흰,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,0,핵심교양,CUL3005-15191,2,화(13:00-15:00),올림픽체육관334강의실
기초수학,Shen yang,0,0,0,0,0,0,0,0,0,4.75,0,핵심교양,GEN4066-15434,2,시간미지정강좌,
필라테스,황민경,59,37,4,27,37,36,90,10,0,4.79,0,핵심교양,DAN1037-15201,2,목(13:00-15:00),올림픽체육관116호사교무용홀
필라테스,황민경,59,37,4,27,37,36,90,10,0,4.79,0,핵심교양,DAN1037-15202,2,화(09:00-11:00),올림픽체육관116호사교무용홀
교양댄스스포츠,김현진,67,33,1,38,43,19,93,7,0,4.80,0,핵심교양,CUL3016-15206,2,화(13:00-15:00),올림픽체육관116호사교무용홀
교양댄스스포츠,김현진,67,33,1,38,43,19,93,7,0,4.80,0,핵심교양,CUL3016-15207,2,화(15:00-17:00),올림픽체육관116호사교무용홀
교양농구1,정재훈,85,14,1,88,12,1,94,5,1,4.95,0,핵심교양,CUL4030-15180,2,월(09:00-11:00),올림픽체육관114호농구장
교양농구1,정재훈,85,14,1,88,12,1,94,5,1,4.95,0,핵심교양,CUL4030-15181,2,월(13:00-15:00),올림픽체육관114호농구장
교양탁구1,홍순화,66,34,0,53,32,15,85,15,0,4.87,0,핵심교양,CUL4036-15187,2,화(09:00-11:00),올림픽체육관종합실기장
교양탁구1,홍순화,66,34,0,53,32,15,85,15,0,4.87,0,핵심교양,CUL4036-15188,2,화(11:00-13:00),올림픽체육관종합실기장
교양테니스1,김종희,89,9,3,81,13,6,94,6,0,4.81,0,핵심교양,CUL4034-15194,2,화(15:00-17:00),비지정()
교양테니스1,김종희,89,9,3,81,13,6,94,6,0,4.81,0,핵심교양,CUL4034-15195,2,목(15:00-17:00),비지정()
교양웨이트트레이닝,박종진,100,0,0,85,15,0,92,8,0,5.00,0,핵심교양,CUL6056-15185,2,목(09:00-11:00),올림픽체육관웨이트트레이닝실
교양웨이트트레이닝,유현기,62,38,0,79,21,0,91,9,0,4.94,0,핵심교양,CUL6056-15186,2,화(09:00-11:00),올림픽체육관웨이트트레이닝실
교양축구1,최정호,83,16,2,86,13,2,95,5,0,4.80,0,핵심교양,CUL4028-15189,2,목(09:00-11:00),비지정()
교양축구1,최정호,83,16,2,86,13,2,95,5,0,4.80,0,핵심교양,CUL4028-15190,2,수(09:00-11:00),비지정()
교양배드민턴,맹이섭,95,4,1,94,6,0,96,4,0,4.87,0,핵심교양,CUL5036-15192,2,금(11:00-13:00),올림픽체육관114호농구장
교양배드민턴,맹이섭,95,4,1,94,6,0,96,4,0,4.87,0,핵심교양,CUL5036-15193,2,금(13:00-15:00),올림픽체육관114호농구장
기초학술영어,John Finucane,5,80,15,30,30,40,65,35,0,4.95,0,핵심교양,GEN6045-15054,3,화(11:00-13:00),"제2공학관308강의실,"
기초학술영어,Mark A. Rublik,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,0,핵심교양,GEN6045-15056,3,금(11:00-13:00),"제2공학관311강의실,"
교양웨이트트레이닝,강성훈,80,20,0,88,12,0,95,5,0,4.74,0,핵심교양,CUL6056-15182,2,목(11:00-13:00),올림픽체육관웨이트트레이닝실
교양웨이트트레이닝,강성훈,80,20,0,88,12,0,95,5,0,4.74,0,핵심교양,CUL6056-15183,2,목(13:00-15:00),올림픽체육관웨이트트레이닝실
교양웨이트트레이닝,조아라,89,11,0,95,5,0,89,11,0,5.00,0,핵심교양,CUL6056-15184,2,화(11:00-13:00),올림픽체육관웨이트트레이닝실
기초학술영어,Mimi Eun Newton,11,56,33,15,68,17,63,24,13,4.19,0,핵심교양,GEN6045-15052,3,목(11:00-13:00),"인문관210강의실,"
기초학술영어,Connie Park,17,67,17,22,33,44,50,39,11,4.78,0,핵심교양,GEN6045-15053,3,월(13:00-15:00),"인문관210강의실,"
기초학술영어,Joshua Huewe,23,64,14,27,36,36,68,27,5,4.68,0,핵심교양,GEN6045-15055,3,화(11:00-13:00),"제2공학관309강의실,"
교양풋살,최정호,0,0,0,0,0,0,0,0,0,4.86,0,핵심교양,CUL1230-15165,2,목(13:00-15:00),비지정()
교양풋살,최정호,0,0,0,0,0,0,0,0,0,4.86,0,핵심교양,CUL1230-15166,2,수(13:00-15:00),비지정()
