교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
실용공학연구1,최성택,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,3,전공심화,COE1010-10175,1,시간미지정강좌,비지정()
지역경제,김홍배,10,33,57,0,19,81,10,67,24,3.10,3,전공심화,ECO3058-10177,3,"금(16:00-17:30),금(17:30-19:00)",제2공학관SW융합실습실(507)
테크노경영학(스타트업종합설계),박찬용,3,75,22,3,57,40,63,36,1,4.25,3,교양필수,GEN5026-10178,3,월(10:30-12:00),"제1공학관601강의실,"
교통계획,최성택,23,77,0,100,0,0,69,31,0,4.77,3,전공심화,TRE3003-10180,3,"수(13:00-14:30),목(10:30-12:00)","제2공학관313강의실(녹화전용),제1공학관409강의실"
GIS와도시공간분석,김현수,0,0,0,0,0,0,0,0,0,4.71,3,전공핵심,URE2008-10181,3,"화(13:00-15:00),화(15:00-17:00)",비지정()
도시설계3,리나,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,3,전공핵심,URE3021-10182,4,"목(13:00-15:00),목(15:00-19:00)",비지정()
도시공학종합설계1(URIP),이수기,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,4,전공핵심,URE4008-10183,4,시간미지정강좌,비지정()
실용공학연구3,이수기,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,COE1012-10176,1,시간미지정강좌,비지정()
일반물리학및실험1,이원욱,0,97,3,77,23,0,34,63,3,4.26,1,전공기초(필수),CUL3011-11228,4,"목(13:00-15:00),화(15:00-17:00)","제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)"
도시설계론,박진아,0,67,33,0,39,61,6,67,28,4.06,3,전공심화,URE4010-10184,3,"금(13:00-14:30),금(14:30-16:00)",제1공학관407강의실
부동산금융및투자,유명한,없음,없음,없음,없음,없음,없음,없음,없음,없음,4.50,4,전공심화,URE4030-10185,3,"수(16:00-17:30),수(17:30-19:00)",제1공학관203강의실
도시및부동산경제,이창무,19,68,13,0,68,32,23,65,13,3.81,3,전공심화,URE4031-10186,3,"월(13:00-14:30),월(14:30-16:00)",제2공학관313강의실(녹화전용)
일반화학및실험1,김민경,0,0,0,0,0,0,0,0,0,4.14,1,전공기초(필수),CHM1005-11354,4,"월(09:00-11:00),수(13:00-15:00)","제1공학관603강의실,,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)"
공업수학1,신교일,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-11355,3,"월(14:30-16:00),목(14:30-16:00)",제1공학관508강의실
미분적분학1,최나리,5,67,29,98,2,0,36,55,10,4.64,1,전공기초(필수),GEN2052-11230,3,"월(14:30-16:00),수(09:00-10:30)",제1공학관402강의실
컴퓨터공학,최현아,6,82,12,82,18,0,35,41,24,4.00,2,전공기초(필수),ENE4044-11361,3,"금(13:00-15:00),금(15:00-17:00)",제2공학관정석현PC3
커리어개발Ⅰ:취.창업진로로드맵,이수기,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-11363,1,화(09:00-10:00),제1공학관208강의실
전문학술영어,John Finucane,9,62,29,12,21,68,44,46,10,4.72,2,교양필수,GEN6032-11364,3,"월(13:00-14:30),목(16:00-17:30)",제2공학관305강의실
도시와인간,이수기,0,13,88,0,50,50,20,70,10,4.23,1,전공핵심,URE1002-11366,3,"월(16:00-17:30),월(17:30-19:00)",제2공학관208강의실
도시계획개론,김흥순,76,24,0,95,5,0,10,62,29,3.90,2,전공핵심,URE2006-11367,3,"월(16:00-17:30),화(10:30-12:00)",신소재공학관702호/703호
도시설계1,박진아,없음,없음,없음,없음,없음,없음,없음,없음,없음,2.00,2,전공핵심,URE3011-11368,4,"화(13:00-15:00),화(15:00-19:00)",비지정()
공업수학1,김재희,8,92,1,89,9,2,19,68,13,4.34,2,전공기초(필수),COE3051-11201,3,"월(14:30-16:00),목(14:30-16:00)",제1공학관302강의실
AI시대쓰기의힘,노희호,0,0,0,0,0,0,0,0,0,5.00,1,교양필수,CUL0203-11189,2,화(11:00-13:00),제1공학관206강의실
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12544,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12545,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12546,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12547,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12548,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12549,2,시간미지정강좌,비지정()
일반물리학및실험1,천병구,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,전공기초(필수),CUL3011-12557,4,"목(13:00-15:00),화(15:00-17:00)","제1공학관305강의실,,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실3(212)"
미분적분학1,허영식,0,0,0,0,0,0,0,0,0,4.00,1,전공기초(필수),GEN2052-12576,3,"월(14:30-16:00),수(09:00-10:30)",제1공학관403강의실
