교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
테크노경영학(스타트업종합설계),박찬용,3,75,22,3,57,40,63,36,1,4.25,3,교양필수,GEN5026-10117,3,월(13:00-14:30),"제1공학관404강의실,"
랜덤프로세스,홍송남,0,0,0,0,0,0,0,0,0,4.88,3,전공심화,ITE3013-11083,3,"월(14:30-16:00),월(16:00-17:30)",공업센터PC실(613)
반도체소자분석기술,김형진,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,3,전공심화,SCE3001-11084,3,"화(10:30-12:00),목(13:00-14:30)","반도체공학과406강의실,제2공학관510강의실(녹화전용)"
공업수학1,김재희,8,92,1,89,9,2,19,68,13,4.34,2,전공기초(필수),COE3051-11268,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관508강의실,제1공학관303강의실"
전자회로1,박상규,16,45,39,64,33,3,28,61,11,3.72,3,전공핵심,ELE3074-11077,4,"목(15:00-16:30),목(16:30-18:00),월(17:30-19:30)","제2공학관510강의실(녹화전용),제2공학관510강의실(녹화전용),반도체공학과회로설계실험실(407)"
컴퓨터구조,정두석,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,3,전공핵심,ENE1004-11080,4,"수(13:00-14:30),수(14:30-16:00),화(16:00-18:00)","제1공학관508강의실,제1공학관508강의실,반도체공학과회로설계실험실(407)"
반도체회로공정,이승백,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,3,전공핵심,ENE2006-11081,3,"금(09:00-10:30),금(10:30-12:00)",반도체공학과406강의실
테크노경영학(스타트업종합설계),이재석,6,55,39,3,35,62,44,39,18,3.72,3,교양필수,GEN5026-12795,3,월(13:00-14:30),"제1공학관405강의실,"
커리어개발Ⅰ:취.창업진로로드맵,유호천,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12875,1,수(16:00-17:00),제1공학관103강의실
공업수학1,김주형,2,89,9,89,10,0,17,72,10,4.28,2,전공기초(필수),COE3051-12285,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관204강의실,제1공학관302강의실"
자료구조론,김지훈,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,2,전공핵심,CSE2010-12286,3,"목(15:00-16:30),목(16:30-18:00)",반도체공학과406강의실
상상과학성찰,정원교,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,CUL0201-12288,2,화(15:00-17:00),제1공학관603강의실
통합사고와읽기의기술,우미영,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,CUL0204-12289,2,월(15:00-17:00),제1공학관406강의실
회로이론1,정예환,0,81,19,94,6,0,38,56,6,4.88,2,전공핵심,ECC1004-12291,4,"화(14:30-16:00),수(14:30-16:00),금(10:00-12:00)","제2공학관정석현PC3,제2공학관정석현PC3,반도체공학과회로설계실험실(407),반도체공학과회로설계실험실(407)"
일반전자물리1,홍진표,없음,없음,없음,없음,없음,없음,없음,없음,없음,4.00,1,전공기초(필수),ELE1010-12292,3,"월(10:30-12:00),수(10:30-12:00)",반도체공학과406강의실
고체전자물리개론,박재근,39,58,4,93,7,0,26,70,4,4.49,2,전공핵심,ELE4077-12293,3,"월(13:00-14:30),월(14:30-16:00)",반도체공학과406강의실
일반화학및실험,최한,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,1,전공기초(필수),GEN0072-12294,3,"화(09:00-11:00),금(11:00-13:00)","제1공학관304강의실,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)"
미분적분학1,이현미,0,0,0,0,0,0,0,0,0,4.00,1,전공기초(필수),GEN2052-12295,3,"화(13:00-14:30),금(14:30-16:00)","자연과학관202강의실,자연과학관227강의실"
커리어개발Ⅰ:취.창업진로로드맵,김지훈,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,교양필수,GEN5029-12297,1,수(16:00-17:00),반도체공학과406강의실
선형대수,신동준,0,0,0,0,0,0,0,0,0,5.00,2,전공기초(필수),MAT2003-12298,3,"월(10:30-12:00),수(13:00-14:30)","제2공학관해동AILab_402,제2공학관502강의실"
전자기학,박완준,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,2,전공핵심,PHY2013-12300,3,"목(10:30-12:00),목(13:00-14:30)",반도체공학과406강의실
반도체리더십세미나,박진섭,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,1,전공핵심,SCE1001-12301,3,"수(13:00-14:30),수(14:30-16:00)",반도체공학과406강의실
공업수학1,노우석,18,81,1,96,2,2,33,65,2,4.82,2,전공기초(필수),COE3051-12650,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관302강의실,제1공학관508강의실"
공업수학1,이성열,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-12651,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관303강의실,제1공학관208강의실"
