교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
품질경영,김태복,2,88,10,76,24,0,41,56,2,3.93,3,전공핵심,BUS3021-10143,3,"월(16:00-17:30),화(16:00-17:30)","제1공학관409강의실,제1공학관601강의실"
테크노경영학(스타트업종합설계),안광일,0,0,0,0,0,0,0,0,0,4.75,3,교양필수,GEN5026-10144,3,월(14:30-16:00),"제1공학관404강의실,"
경영과학과운영연구1,박철진,0,71,29,84,16,0,35,55,10,4.26,3,전공핵심,INE3079-10145,3,"월(10:30-12:00),금(10:30-12:00)","인텔리전스컴퓨팅룸3,제1공학관205강의실"
운용관리,이동호,0,82,18,89,7,4,7,57,36,4.04,3,전공핵심,INE3081-10146,3,"수(10:30-12:00),금(14:30-16:00)",제1공학관203강의실
네트워크및재고전략,김태복,0,0,0,0,0,0,0,0,0,4.50,4,전공심화,INE3082-10147,3,"월(10:30-12:00),화(10:30-12:00)",IT.BT관813강의실
시계열분석및예측,송재욱,25,75,0,81,19,0,75,25,0,4.81,3,전공핵심,INE3098-10148,3,"화(14:30-16:00),목(14:30-16:00)","IT.BT관203강의실,제1공학관405강의실"
산업공학종합설계1,배석주,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,INE4089-10151,3,금(16:00-19:00),제2공학관203강의실
프로젝트관리공학,나창엽,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,INE4092-10152,3,"화(13:00-14:30),화(14:30-16:00)",제1공학관506강의실(공학대학원전용)
데이터경영,배석주,없음,없음,없음,없음,없음,없음,없음,없음,없음,5.00,4,전공심화,INE4109-10154,3,"월(09:00-10:30),수(13:00-14:30)","비지정(),제1공학관404강의실"
기계학습과데이터마이닝,이기천,0,62,38,5,71,24,52,48,0,3.14,3,전공핵심,INE5008-10156,3,"월(09:00-10:30),화(09:00-10:30)",제2공학관313강의실(녹화전용)
산업공학캡스톤PBL(기계학습및딥러닝응용연구),이기천,0,0,0,0,0,0,0,0,0,3.88,4,전공심화,PBL4019-10157,3,"월(15:00-17:00),월(17:00-19:00)",제2공학관312강의실
응용데이터애널리틱스,송재욱,0,0,0,0,0,0,0,0,0,5.00,4,전공심화,INE4108-10153,3,"목(11:00-12:30),목(12:30-14:00)",비지정()
산업공학연구실현장실습3,김태복,없음,없음,없음,없음,없음,없음,없음,없음,없음,0,4,전공심화,INE4110-10155,1,시간미지정강좌,비지정()
전문학술영어,Stacey Eujung Choi,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-11313,3,"월(14:30-16:00),목(13:00-14:30)",제2공학관305강의실
일반화학및실험1,김민경,0,0,0,0,0,0,0,0,0,4.14,1,전공기초(필수),CHM1005-11337,4,"목(11:00-13:00),화(09:00-11:00)","제1공학관304강의실,,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)"
공업수학1,신교일,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-11338,3,"화(10:30-12:00),금(14:30-16:00)",제1공학관208강의실
일반물리학및실험1,이경수,0,91,9,61,30,9,35,65,0,4.13,1,전공기초(필수),CUL3011-11343,4,"화(13:00-15:00),목(13:00-15:00)","제1공학관305강의실,,자연과학관일반물리학실험실4(213),자연과학관일반물리학실험실3(212)"
공학도를위한창의적프로그래밍,신수연,53,47,0,100,0,0,62,38,0,4.82,2,교양필수,GEN1100-11345,2,"화(15:00-16:00),화(16:00-17:00)",제2공학관최병부SW실습실(303)
확률통계론,배석주,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),MAT2017-11351,3,"월(16:00-17:30),수(10:30-12:00)",제1공학관205강의실
수치해석,정지훈,0,0,0,0,0,0,0,0,0,5.00,2,전공기초(필수),MAT3008-11352,3,"수(16:00-17:30),목(10:30-12:00)",제1공학관408강의실
객체지향프로그래밍,이기천,0,50,50,0,80,20,39,55,7,3.73,2,전공핵심,COM2018-11339,3,"월(13:00-14:30),화(13:00-14:30)","비지정(),제2공학관311강의실"
AI시대쓰기의힘,황인건,없음,없음,없음,없음,없음,없음,없음,없음,없음,4.00,1,교양필수,CUL0203-11341,2,금(09:00-11:00),제1공학관207강의실
