교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
인문클래식BL:언어의비밀,전은진,13,75,12,4,61,36,68,32,0,4.69,0,핵심교양/전공심화,CLS1008-15095,3,화(11:00-13:00),"제1공학관502강의실,"
생명이란무엇인가?정신과물질,채지형,12,83,5,23,65,12,44,50,6,4.68,0,핵심교양,CUL6098-15136,2,월(11:00-13:00),자연과학관118강의실
예술클래식BL:신화로읽는동화,강민경,57,39,4,60,38,2,37,50,13,4.47,0,핵심교양,CLS1011-15007,3,화(13:00-15:00),"제1공학관502강의실,"
하루키와함께읽는고전,김지선,11,74,15,2,51,47,90,9,1,4.71,0,핵심교양,CUL7048-15013,2,화(11:00-13:00),제2공학관203강의실
하루키와함께읽는고전,김지선,11,74,15,2,51,47,90,9,1,4.71,0,핵심교양,CUL7048-15014,2,화(15:00-17:00),제2공학관203강의실
인문클래식:문학으로읽는음식과인간,김지선,10,74,16,1,27,72,91,9,0,4.83,0,핵심교양,CLS1023-15015,3,"수(13:00-15:00),수(15:00-16:00)",제2공학관203강의실
인문클래식:문학으로읽는음식과인간,김지선,10,74,16,1,27,72,91,9,0,4.83,0,핵심교양,CLS1023-15016,3,"수(16:00-18:00),수(18:00-19:00)",제2공학관203강의실
과학클래식:과학과 상상의 인간,우미영,3,53,45,20,28,53,63,35,3,4.53,0,핵심교양/전공심화,CLS1019-15049,3,목(15:00-17:00),"제2공학관203강의실,"
예술클래식:도시와문학,우미영,6,44,50,9,53,38,41,41,19,3.44,0,핵심교양/전공심화,CLS1025-15050,3,금(13:00-15:00),"제1공학관501강의실,"
인간과음악적상상력,정경영,8,78,15,92,8,0,27,67,7,4.46,0,핵심교양,CUL6086-15162,2,화(13:00-15:00),제2공학관302강의실
자유란무엇인가,박찬운,32,66,1,100,0,0,42,49,9,4.41,0,핵심교양,CUL0104-15235,3,"수(15:00-16:30),수(16:30-18:00)",제3법학관403호
인문클래식:독서의기술,전은진,2,55,43,2,62,37,57,42,2,4.72,0,핵심교양,CLS1013-15094,3,수(13:00-15:00),"제1공학관201강의실,"
과학클래식:과학에게정의를묻다,이채리,30,59,10,29,39,32,88,9,3,4.72,0,핵심교양/전공심화,CLS1020-15091,3,금(11:00-13:00),"제1공학관502강의실,"
인문클래식BL:삼국지와인간,박동욱,1,64,35,28,59,13,41,41,17,3.75,0,핵심교양,CLS1007-15097,3,수(13:00-15:00),"제1공학관103강의실,"
사회클래식BL:사랑의역사와문화정치학,김현주,1,66,33,1,29,69,38,55,7,4.05,0,핵심교양/전공심화,CLS1009-15021,3,목(11:00-13:00),"제1공학관501강의실,"
