교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
MBTI유형에따른대화전략,정종수,65,35,0,5,20,75,95,5,0,4.45,0,핵심교양,CUL1212-15465,3,"목(09:00-11:00),목(11:00-12:00)",제1공학관504강의실
영화로보는서양의역사,고광열,0,0,0,0,0,0,0,0,0,5.0,0,핵심교양,CUL0047-15294,2,월(11:00-13:00),제1공학관409강의실
영화로보는서양의역사,고광열,0,0,0,0,0,0,0,0,0,5.0,0,핵심교양,CUL0047-15295,2,월(13:00-15:00),제1공학관409강의실
한국근현대사,정종원,58,41,1,99,0,1,51,48,1,4.82,0,핵심교양,GEN1092-15302,2,목(13:00-15:00),제2공학관301강의실
한국근현대사,정종원,58,41,1,99,0,1,51,48,1,4.82,0,핵심교양,GEN1092-15303,2,목(15:00-17:00),제2공학관301강의실
한국근현대사,정대훈,28,72,0,95,4,2,53,46,2,4.98,0,핵심교양,GEN1092-15304,2,화(17:00-19:00),제2공학관301강의실
영.미문화와영화,Tory S. Thorkelson,0,0,100,23,8,69,8,23,69,1.31,0,핵심교양,CUL3084-15309,3,"월(13:00-14:30),월(14:30-16:00)",인문관308강의실
외국인을위한한국의역사와문화,주혁,40,59,2,76,22,2,50,41,9,3.17,0,핵심교양,CUL6017-15305,2,화(13:00-15:00),인문관405강의실
채움과비움:나이듦의인문학적이해,윤성호,72,22,5,93,6,1,36,50,13,4.28,0,핵심교양,CUL7046-15042,3,시간미지정강좌,
고전음악의이해,김경화,5,69,26,93,7,0,36,59,5,4.47,0,핵심교양,CUL5066-15161,2,목(13:00-15:00),제2공학관302강의실
호신술과자기방어,손성원,100,0,0,84,11,5,89,11,0,5.0,0,핵심교양,CUL1216-15167,2,금(09:00-11:00),올림픽체육관유도장
호신술과자기방어,김만근,57,43,0,93,7,0,100,0,0,5.0,0,핵심교양,CUL1216-15168,2,금(13:00-15:00),올림픽체육관유도장
4차산업혁명속공연예술과멀티미디어콘텐츠,우종희,4,37,59,75,24,2,43,51,6,4.12,0,핵심교양,CUL1148-15176,3,"목(13:00-14:30),목(14:30-16:00)",올림픽체육관227강의실
영화의이해,김윤지,21,79,0,91,8,0,30,57,13,4.69,0,핵심교양,GEN2079-15177,2,화(15:00-17:00),IT.BT관영화시사실
연극의이해,임연진,0,0,0,0,0,0,0,0,0,4.0,0,핵심교양,GEN2078-15179,2,월(11:00-13:00),올림픽체육관231강의실
동양신화와문화콘텐츠스토리텔링,강민경,16,79,5,11,63,26,21,74,5,4.53,0,핵심교양,CUL1225-15008,3,수(13:00-15:00),"제1공학관502강의실,"
두문화의인간학,김호연,24,62,14,22,46,32,27,51,22,3.41,0,핵심교양,CUL7042-15047,3,월(13:00-15:00),"제2공학관203강의실,"
전통음악감상,박지인,19,74,7,95,5,0,31,57,12,4.22,0,핵심교양,CUL1041-15154,2,월(11:00-13:00),제2음악관301강의실
