교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
선형대수원리및응용,이승환,1,97,1,88,10,1,33,66,1,4.61,3,전공심화,DME2060-10076,3,화(14:30-16:00),제2공학관209강의실
기계공학의응용과미래2,김민구,15,82,3,97,0,3,91,6,3,4.97,4,전공심화,DME4063-10080,1,화(13:00-14:00),제2공학관202강의실(녹화전용)
열유체유동해석및설계,엄석기,47,41,12,0,65,35,53,41,6,4.24,4,전공심화,DME4064-10081,3,"금(15:00-16:00),금(16:00-20:00)",비지정()
재료및생산가공실험2,이승환,0,0,0,0,0,0,0,0,0,5.0,4,전공심화,DME4068-10084,2,월(15:00-19:00),"비지정(),제2공학관정석현PC3"
복합재료기초역학,김학성,0,78,22,83,17,0,49,51,0,4.78,4,전공심화,DME4070-10085,3,화(10:30-12:00),"제1공학관205강의실,제2공학관209강의실"
최적설계및머신러닝,서태원,29,29,43,0,0,100,14,52,33,2.81,4,전공심화,DME4076-10088,3,"월(11:00-13:00),수(13:00-15:00)","제2공학관205강의실,제2공학관해동AILab_402"
열역학2,김동립,46,53,1,89,10,1,75,24,1,5.0,3,전공핵심,MEE3002-10092,3,월(10:30-12:00),"제2공학관302강의실,비지정()"
유체역학1,곽노균,3,91,6,86,14,0,9,60,31,3.8,3,전공핵심,MEE3003-10093,3,"월(14:30-16:00),수(14:30-16:00)",제1공학관208강의실
로보트공학,박종현,4,79,18,86,14,0,21,64,14,3.89,4,전공심화,MEE3008-10094,3,"월(13:00-14:30),수(10:30-12:00)","제2공학관208강의실,제2공학관210강의실"
기계공학부캡스톤PBL(파손분석및설계),김태원,0,64,36,7,79,14,79,21,0,4.64,4,전공심화,PBL4006-10096,3,"목(09:00-11:00),목(11:00-13:00)",제2공학관205강의실
전문학술영어,Douglas N. McIntosh,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-11283,3,"월(09:00-10:30),목(10:30-12:00)",제2공학관305강의실
계측공학,장경영,8,87,5,84,16,0,28,61,11,3.79,2,전공심화,MEE4011-11284,3,"수(09:00-10:30),수(10:30-12:00)",제2공학관204강의실
공업수학3,왕웨이,36,64,0,94,6,0,64,35,1,4.29,3,전공기초(필수),COE3053-10075,3,"화(10:30-12:00),목(10:30-12:00)","제2공학관202강의실(녹화전용),제2공학관302강의실"
기계요소설계,서태원,7,9,84,0,4,96,13,73,14,3.82,3,전공심화,DME3052-10077,3,"화(13:00-14:30),목(13:00-14:30)",제2공학관204강의실
열유체공학실험2,문승재,0,0,0,0,0,0,0,0,0,4.29,4,전공심화,DME4066-10082,2,월(15:00-19:00),비지정()
테크노경영학(스타트업종합설계),안광일,0,0,0,0,0,0,0,0,0,4.75,3,교양필수,GEN5026-10090,3,금(13:00-14:30),"제1공학관509강의실,"
수치해석,문승재,5,42,53,87,13,0,23,63,14,3.12,3,전공기초(필수),MAT3008-10091,3,"월(13:00-14:30),수(13:00-14:30)",제2공학관209강의실
기계공학종합설계1,곽노균,0,0,0,0,0,0,0,0,0,5.0,4,전공핵심,MEE4085-10095,3,시간미지정강좌,비지정()
동역학,왕웨이,24,76,0,95,5,0,65,24,11,4.38,2,전공핵심,COE2004-11266,3,"금(09:00-10:30),금(10:30-12:00)",제2공학관502강의실
공학입문설계,전상환,7,49,44,24,30,46,35,55,10,3.92,1,전공핵심,COE2022-11267,3,"월(17:00-19:00),목(11:00-13:00)",제2공학관공학입문설계실
공업수학1,김재희,8,92,1,89,9,2,19,68,13,4.34,2,전공기초(필수),COE3051-11268,3,"화(13:00-14:30),금(13:00-14:30)","제1공학관508강의실,제1공학관303강의실"
Adventure Design(기계융합2),오기용,95,5,0,50,32,18,95,5,0,4.91,2,전공심화,DME2062-11277,3,"월(15:00-16:00),월(16:00-20:00)",비지정()
일반화학및실험1,한진욱,0,0,0,0,0,0,0,0,0,4.78,1,전공기초(필수),CHM1005-11265,4,"수(13:00-15:00),월(11:00-13:00)","제1공학관401강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)"
일반물리학및실험1,하은자,6,89,6,83,14,3,69,28,3,4.68,1,전공기초(필수),CUL3011-11274,4,"화(15:00-17:00),금(11:00-13:00)","제1공학관304강의실,,자연과학관일반물리학실험실2(210),자연과학관일반물리학실험실1(209)"
미분적분학1,권윤기,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-11281,3,"월(09:00-10:30),수(10:30-12:00)",제1공학관402강의실
일반화학및실험1,이경림,0,0,0,0,0,0,0,0,0,4.14,1,전공기초(필수),CHM1005-12570,4,"수(13:00-15:00),월(13:00-15:00)","제1공학관509강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)"
공업수학3,박우성,0,0,0,0,0,0,0,0,0,4.5,3,전공기초(필수),COE3053-12914,3,화(10:30-12:00),"IT.BT관국제회의실(911),제2공학관301강의실"
열유체유동해석및설계,송시몬,10,60,30,10,40,50,10,40,50,4.1,4,전공심화,DME4064-12937,3,"목(15:00-16:00),목(16:00-18:00)",비지정()
일반화학및실험1,탁정애,20,72,8,76,22,2,41,57,2,4.51,1,전공기초(필수),CHM1005-12571,4,"수(13:00-15:00),월(13:00-15:00)","제1공학관601강의실,,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)"
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12544,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12545,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12546,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12547,2,시간미지정강좌,비지정()
인공지능과기계학습,성기혁,66,34,0,94,6,0,73,25,2,4.53,2,교양필수,CUL1138-12548,2,시간미지정강좌,비지정()
