교과목명,교강사,과제_없음(%),과제_보통(%),과제_많음(%),조모임_없음(%),조모임_보통(%),조모임_많음(%),성적_너그러움(%),성적_보통(%),성적_깐깐함(%),평점,학년,이수구분,학수번호-수업번호,학점,시간,강의실
수치해석,이승원,7,67,27,100,0,0,87,13,0,4.73,3,전공기초(필수),MAT3008-10131,3,"화(10:30-12:00),목(10:30-12:00)",제2공학관313강의실(녹화전용)
순환자원공학,김현중,0,0,0,0,0,0,0,0,0,4.67,4,전공심화,MME4068-10137,3,"화(16:00-17:30),목(16:00-17:30)",제1공학관508강의실
테크노경영학(스타트업종합설계),안광일,0,0,0,0,0,0,0,0,0,4.75,3,교양필수,GEN5026-10144,3,월(14:30-16:00),"제1공학관404강의실,"
자원경제성평가,김진수,0,0,0,0,0,0,0,0,0,4.0,4,전공심화,MME3016-10132,3,"월(16:00-17:30),수(13:00-14:30)","제1공학관303강의실,제1공학관204강의실"
석유공학실험및설계,이근상,0,100,0,20,80,0,90,10,0,4.9,3,전공핵심,MME3030-10133,2,목(13:00-17:00),제1공학관407강의실
자원지질실습,권일한,0,0,0,0,0,0,0,0,0,4.4,3,전공핵심,MME3033-10134,2,화(13:00-17:00),제2공학관313강의실(녹화전용)
시추공학,이근상,0,0,0,0,0,0,0,0,0,4.22,3,전공핵심,MME3063-10135,3,"월(10:30-12:00),수(10:30-12:00)",제1공학관607강의실(공학대학원전용)
폐기물처리,송호철,0,0,0,0,0,0,0,0,0,4.25,4,전공심화,MME4073-10139,3,"월(10:30-12:00),수(10:30-12:00)","제1공학관407강의실,제1공학관207강의실"
자원처리공학,김현중,9,82,9,45,45,9,100,0,0,5.0,3,전공핵심,MPE2005-10140,3,"월(13:00-14:30),수(13:00-14:30)",제2공학관311강의실
일반화학및실험1,탁정애,20,72,8,76,22,2,41,57,2,4.51,1,전공기초(필수),CHM1005-11319,4,"금(15:00-17:00),화(11:00-13:00)","제1공학관501강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)"
공업수학1,신교일,0,0,0,0,0,0,0,0,0,3.71,2,전공기초(필수),COE3051-11320,3,"월(10:30-12:00),목(10:30-12:00)",제1공학관508강의실
공학도를위한창의적컴퓨팅,원정임,0,0,0,0,0,0,0,0,0,4.5,1,교양필수,GEN1031-11326,3,"월(11:00-13:00),금(11:00-13:00)","제2공학관204강의실,제2공학관정석현PC2"
자원경제원론,김진수,60,40,0,85,15,0,60,40,0,4.8,2,전공핵심,MME2053-11333,3,"화(15:00-16:30),화(16:30-17:00)",제1공학관607강의실(공학대학원전용)
공업수학1,김재희,8,92,1,89,9,2,19,68,13,4.34,2,전공기초(필수),COE3051-11226,3,"월(10:30-12:00),목(10:30-12:00)",제1공학관302강의실
암석역학,이승원,0,69,31,100,0,0,54,46,0,4.08,2,전공핵심,MME4003-11334,3,"화(13:00-14:30),목(13:00-14:30)",제1공학관607강의실(공학대학원전용)
공업수학1,노우석,18,81,1,96,2,2,33,65,2,4.82,2,전공기초(필수),COE3051-11186,3,"월(10:30-12:00),목(10:30-12:00)",제1공학관303강의실
일반물리학및실험1,이원욱,0,97,3,77,23,0,34,63,3,4.26,1,전공기초(필수),CUL3011-11193,4,"수(13:00-15:00),목(09:00-11:00)","제1공학관304강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)"
전문학술영어,Ian Gareth Robert Jones,4,50,45,71,27,2,48,32,20,3.98,2,교양필수,GEN6032-11198,3,"화(10:30-12:00),금(10:30-12:00)",제2공학관305강의실
공학도를위한창의적프로그래밍,성기혁,29,71,0,88,12,0,69,31,0,4.69,2,교양필수,GEN1100-11257,2,"수(09:00-10:00),수(10:00-11:00)",제2공학관401강의실
미분적분학1,연미정,0,0,0,0,0,0,0,0,0,2.75,1,전공기초(필수),GEN2052-11195,3,"화(14:30-16:00),목(16:00-17:30)",제1공학관402강의실
일반물리학및실험1,김호영,56,34,9,84,13,3,53,34,13,3.5,1,전공기초(필수),CUL3011-12554,4,"수(13:00-15:00),목(09:00-11:00)","제1공학관305강의실,,자연과학관일반물리학실험실5(217),자연과학관일반물리학실험실6(218)"
전문학술영어,Esther du Plessis,0,57,43,62,38,0,36,40,24,4.36,2,교양필수,GEN6032-12392,3,"화(10:30-12:00),금(10:30-12:00)",제2공학관306강의실
미분적분학1,오수진,0,0,0,0,0,0,0,0,0,4.0,1,전공기초(필수),GEN2052-12574,3,"화(14:30-16:00),목(16:00-17:30)",제1공학관403강의실
테크노경영학(스타트업종합설계),이재석,6,55,39,3,35,62,44,39,18,3.72,3,교양필수,GEN5026-12595,3,월(14:30-16:00),"제1공학관405강의실,"
