학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
1	전공기초(필수)	GEN2053-15412	미분적분학2	최나리	3	화(13:00-14:30),목(14:30-16:00)	제1공학관405강의실,제1공학관509강의실
0	전공기초(필수)	CUL3011-15413	일반물리학및실험1	이인숙	4	월(15:00-17:00),수(17:00-19:00)	자연과학관IC-PBL전산강의실(222),,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실6(218)
0	교양필수/전공핵심	GEN4091-15362	과학기술의철학적이해	천미림	3	수(13:00-14:30)	제1공학관507강의실,
0	교양필수	GEN4091-15363	과학기술의철학적이해	오경준	3	화(16:00-17:30)	제1공학관409강의실,
0	교양필수	GEN4091-15365	과학기술의철학적이해	정혜경	3	목(10:30-12:00)	제1공학관507강의실,
0	교양필수	GEN4091-15366	과학기술의철학적이해	김호연	3	목(13:00-14:30)	제1공학관507강의실,
0	타전공(일반)선택	SBC0003-15477	반도체공정과장비의이해	방승호	3	월(11:00-13:00)	제1공학관209강의실
0	타전공(일반)선택	SBC0004-15478	반도체공정응용	박현정	3	목(15:00-17:00),목(17:00-19:00)	제1공학관304강의실
0	타전공(일반)선택	SBC0005-15479	플라즈마장비	김주호	3	월(16:00-18:00),월(18:00-20:00)	제1공학관208강의실
0	교양필수	CUL0011-15484	창의적컴퓨팅	장병철	3	월(17:00-19:00)	,경영관B103강의실
0	전공심화	JOB2002-15510	현장실습(전공심화)	김태식	9	시간미지정강좌	
0	전공심화	JOB3001-15513	현장실습(4+1)	김태식	10	시간미지정강좌	
0	타전공(일반)선택	SBC0001-15475	생활속의반도체	방승호	3	수(15:00-17:00),수(17:00-19:00)	제1공학관304강의실
0	전공핵심	JOB2001-15509	현장실습(전공핵심)	김태식	9	시간미지정강좌	
0	타전공(일반)선택	JOB2005-15512	현장실습(일반선택)	김태식	15	시간미지정강좌	
0	타전공(일반)선택	CUL1190-15466	4차산업혁명과사회의이해	이유신	3	목(13:00-15:00),목(15:00-16:00)	사회과학관103강의실
0	타전공(일반)선택	CUL1157-15470	금융인공지능실무	박성우	3	월(19:00-20:30),월(20:30-22:00)	경영관B103강의실
0	교직선택	EDU2014-15145	교육철학및교육사	최정희	2	화(13:00-15:00)	사범대학본관멀티미디어강의실(213)
1	전공기초(필수)	GEN2052-15405	미분적분학1	황신철	3	월(14:30-16:00),수(13:00-14:30)	제1공학관602강의실,제1공학관402강의실
1	전공기초(필수)	GEN2052-15406	미분적분학1	조규동	3	화(14:30-16:00),목(14:30-16:00)	자연과학관226강의실
1	전공기초(필수)	GEN2052-15407	미분적분학1	최나리	3	월(13:00-14:30),수(10:30-12:00)	제1공학관602강의실,제1공학관509강의실
1	전공기초(필수)	GEN2052-15409	미분적분학1	권윤기	3	월(10:30-12:00),수(09:00-10:30)	제1공학관405강의실
1	전공기초(필수)	GEN2052-15410	미분적분학1	장정환	3	월(16:00-17:30),수(16:00-17:30)	제1공학관405강의실
0	타전공(일반)선택	CUL1174-15467	사회혁신을위한미디어의이해	이동형	3	수(13:00-14:30),수(14:30-16:00)	사회과학관253강의실
0	타전공(일반)선택	CUL1182-15468	디지털플랫폼과경제및사회적이슈	박태영	3	금(13:00-14:00),금(14:00-16:00)	경영관301강의실
0	교양필수	CUL0203-15453	AI시대쓰기의힘	전철희	2	수(11:00-13:00)	제2공학관312강의실
0	타전공(일반)선택	CUL1176-15472	패션리테일4.0시대옴니채널마케팅	김정희	3	목(16:00-17:30),목(17:30-19:00)	생활과학관컴퓨터실
1	전공기초(필수)	GEN2053-15411	미분적분학2	정예원	3	월(09:00-10:30),금(10:30-12:00)	제1공학관509강의실
0	교양필수	GEN4091-15364	과학기술의철학적이해	천미림	3	목(09:00-10:30)	제1공학관507강의실,
0	교양필수	GEN4091-15425	과학기술의철학적이해	박민아	3	목(10:30-12:00)	제1공학관406강의실,
0	타전공(일반)선택	CUL7113-15428	ESG평가방법론	양재용	3	수(13:00-14:30),수(14:30-16:00)	융합교육관강의실(705-608)
4	타전공(일반)선택	CUL7114-15429	글로벌지속가능성마케팅	언초	3	금(16:00-17:00),금(17:00-19:00)	경영관501강의실
