학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공핵심	ARE3008-10032	건축구조역학1	한상환	3	월(10:30-12:00),수(16:00-17:30)	제2공학관501강의실,제2공학관302강의실
4	전공심화	ARE4031-10034	건물에너지	정재원	3	월(13:00-14:30),수(13:00-14:30)	제1공학관209강의실,제1공학관407강의실
4	전공핵심	GEN3058-10041	공업경제학	최광열	3	월(09:00-10:30),월(10:30-12:00)	제2공학관210강의실
3	전공핵심	ARE3080-10033	건축융합설계1	박운종	3	화(13:00-14:00),화(14:00-18:00)	공학실험스튜디오2-2
3	전공핵심	ARE5011-10035	건축시공계획	김재준	3	월(13:00-14:00),월(14:00-18:00)	제1공학관407강의실
3	전공핵심	ARE5027-10036	HVAC 시스템디자인	이송우	3	월(18:30-20:00),월(20:00-21:30)	제1공학관407강의실
4	전공심화	ARE6041-10037	강구조	박영미	3	화(09:00-10:30),화(10:30-12:00)	제1공학관407강의실
3	전공심화	CIE3069-10038	철근콘크리트구조1	최창식	3	화(09:00-10:30),수(09:00-10:30)	건축관IC-PBL강의실(601)
4	전공핵심	ENE4044-10039	컴퓨터공학	왕승현	3	월(15:00-17:00),월(17:00-19:00)	제2공학관정석현PC1
3	교양필수	GEN5026-10042	테크노경영학(스타트업종합설계)	안광일	3	월(09:00-10:30)	제1공학관604강의실(녹화전용),
4	전공심화	PBL4004-10043	건축공학캡스톤PBL(스마트건축재료)	배성철	3	시간미지정강좌	비지정()
2	전공기초(필수)	COE3051-11320	공업수학1	신교일	3	월(10:30-12:00),목(10:30-12:00)	제1공학관508강의실
2	전공핵심	ARD2052-11219	건축환경공학	전진용	3	수(13:00-15:00)	건축관IC-PBL강의실(601),
2	전공핵심	ARE2021-11220	공학역학	유은종	3	월(14:30-16:00),수(16:00-17:30)	제1공학관209강의실
2	전공심화	ARE3005-11221	건축재료	배성철	3	월(13:00-14:30),화(14:30-16:00)	제1공학관408강의실
1	전공기초(필수)	ARE4086-11222	기본설계1	홍유찬	3	수(13:00-14:00),수(14:00-18:00)	공학실험스튜디오2-1
2	전공심화	ARE5008-11223	Adventure_Design(건축융합1)	이순석	3	목(13:00-14:00),목(14:00-18:00)	공학실험스튜디오2-1
2	전공심화	ARE5028-11224	건축구조시스템	이은진	3	화(16:00-17:30),화(17:30-19:00)	제1공학관408강의실
1	교양필수	CUL0201-11227	상상과학성찰	박민아	2	월(11:00-13:00)	제1공학관206강의실
1	전공기초(필수)	CUL3011-11228	일반물리학및실험1	이원욱	4	목(13:00-15:00),화(15:00-17:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)
2	교양필수	GEN1031-11229	공학도를위한창의적컴퓨팅	원정임	3	화(11:00-13:00),금(13:00-15:00)	제2공학관204강의실,제2공학관401강의실
3	교양필수	GEN1100-10508	공학도를위한창의적프로그래밍	신수연	2	목(11:00-12:00),목(12:00-13:00)	제2공학관401강의실
