학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공핵심	CHE3014-10114	응용열역학	송민섭	3	월(09:00-10:30),수(13:00-14:30)	제1공학관508강의실,제1공학관208강의실
4	전공심화	COE1012-10116	실용공학연구3	정윤선	1	시간미지정강좌	비지정()
3	교양필수	GEN5026-10117	테크노경영학(스타트업종합설계)	박찬용	3	월(13:00-14:30)	제1공학관404강의실,
3	전공심화	NUE2057-10118	핵계측신호처리	박준식	3	금(09:00-10:30),금(10:30-12:00)	제2공학관207강의실
4	전공심화	NUE3025-10119	원자로재료공학	김상태	3	월(10:30-12:00),수(14:30-16:00)	제2공학관정석현PC1
3	전공핵심	NUE3037-10121	원자로이론	홍서기	3	수(10:30-12:00),목(09:00-10:30)	제1공학관209강의실,제1공학관208강의실
3	전공심화	NUE3040-10122	방사선계측응용실습	김찬형	3	목(13:00-14:00),목(14:00-18:00)	제2공학관313강의실(녹화전용)
3	전공핵심	NUE3061-10123	운동량및열전달	송민섭	3	수(14:30-16:00),목(10:30-12:00)	제1공학관203강의실,제1공학관207강의실
3	전공심화	NUE3065-10124	핵융합플라즈마입문	왕선정	3	금(13:00-14:30),금(14:30-16:00)	제2공학관204강의실
4	전공심화	NUE4054-10125	방사선장치설계	김용균	3	화(15:00-16:00),화(16:00-20:00)	제1공학관209강의실
4	전공심화	NUE4059-10126	응용열수력실험	송진호	3	금(13:00-14:00),금(14:00-18:00)	비지정()
4	전공심화	NUE4062-10127	원자력공학종합설계	김용균	3	수(16:00-19:00)	제2공학관209강의실
2	전공기초(필수)	MAT2017-11314	확률통계론	제무성	3	화(16:00-17:30),수(13:00-14:30)	제1공학관201강의실,제1공학관501강의실
2	전공핵심	NUE2007-11315	핵공학개론	정윤선	3	월(09:00-10:30),수(10:30-12:00)	제1공학관303강의실,제1공학관204강의실
2	전공핵심	NUE2059-11316	기초열전달	송민섭	3	목(14:30-16:00),금(13:00-14:30)	제1공학관203강의실,제1공학관304강의실
1	전공기초(필수)	CUL3011-11308	일반물리학및실험1	이명재	4	화(13:00-15:00),수(15:00-17:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)
4	전공심화	PBL4024-10128	원자력공학캡스톤PBL(차폐해석이론및몬테칼로방법응용연구)	신창호	3	화(11:00-13:00),수(11:00-13:00)	제1공학관506강의실(공학대학원전용),제1공학관103강의실
2	전공기초(필수)	COE3051-11288	공업수학1	노우석	3	화(14:30-16:00),금(14:30-16:00)	제1공학관302강의실,제1공학관508강의실
1	전공기초(필수)	CHM1005-11303	일반화학및실험1	탁정애	4	목(09:00-11:00),월(15:00-17:00)	제1공학관304강의실,,자연과학관일반화학실험실3(121),자연과학관일반화학실험실4(122)
1	교양필수	GEN5029-11312	커리어개발Ⅰ:취.창업진로로드맵	김상태	1	월(17:00-18:00)	제2공학관510강의실(녹화전용)
2	교양필수	GEN6032-11313	전문학술영어	Stacey Eujung Choi	3	월(14:30-16:00),목(13:00-14:30)	제2공학관305강의실
2	전공핵심	NUE3062-11317	방사선상호작용	김찬형	3	화(09:00-10:30),목(10:30-12:00)	제2공학관210강의실
2	전공기초(필수)	COE3051-11304	공업수학1	이성열	3	화(14:30-16:00),금(14:30-16:00)	제1공학관508강의실,제1공학관303강의실
1	교양필수	CUL0204-11306	통합사고와읽기의기술	박수진	2	화(09:00-11:00)	제1공학관401강의실
1	교양필수	GEN1031-11309	공학도를위한창의적컴퓨팅	조호성	3	화(15:00-17:00),수(13:00-15:00)	제2공학관205강의실,제2공학관401강의실
2	교양필수	GEN1100-11310	공학도를위한창의적프로그래밍	박주열	2	수(15:00-16:00),수(16:00-17:00)	제2공학관SW융합실습실(507)
1	전공기초(필수)	GEN2052-11311	미분적분학1	허재성	3	월(13:00-14:30),목(14:30-16:00)	제1공학관403강의실
2	전공기초(필수)	COE3051-11252	공업수학1	김재희	3	화(14:30-16:00),금(14:30-16:00)	제1공학관303강의실,제1공학관302강의실
4	전공심화	COE1012-12888	실용공학연구3	조용흠	1	시간미지정강좌	비지정()
3	교양필수	GEN5026-12795	테크노경영학(스타트업종합설계)	이재석	3	월(13:00-14:30)	제1공학관405강의실,
1	교양필수	GEN5029-12886	커리어개발Ⅰ:취.창업진로로드맵	송민섭	1	월(17:00-18:00)	제2공학관501강의실
1	교양필수	GEN5029-12887	커리어개발Ⅰ:취.창업진로로드맵	조용흠	1	월(17:00-18:00)	제2공학관202강의실(녹화전용)
4	전공심화	NUE4062-12890	원자력공학종합설계	홍서기	3	수(16:00-19:00)	제2공학관313강의실(녹화전용)
2	교양필수	GEN6032-12409	전문학술영어	Sung Il Park	3	월(14:30-16:00),목(13:00-14:30)	제2공학관308강의실
2	교양필수	GEN6032-12408	전문학술영어	Nathan John Lucas	3	월(14:30-16:00),목(13:00-14:30)	제2공학관307강의실
