
학년학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	SYB9125-15483	사회복지실천과현장		2	시간미지정강좌			33	25-1학기 이후 개설 예정 없음
0	핵심교양	SYB9096-15493	성공하는문화콘텐츠소재개발전략		3				165	
0	핵심교양	SYB9102-15494	미래소비사회와상품		2				107	
0	핵심교양	SYB9071-15497	21세기기업의인재상		3				189	
0	핵심교양	SYB9036-15498	글로벌시대의예술과가치		3				97	
0	핵심교양	SYB9082-15499	색채심리와현대생활		3				177	
0	핵심교양	SYB9112-15504	화폐와금융의과거,현재,그리고미래		3				170	
0	핵심교양	SYB9035-15505	음식과세계문화		3				94	
0	핵심교양	SYB9030-15507	그린IT의이해		3				110	
0	핵심교양	SYB1127-15489	정보사회학입문		3				119	
0	핵심교양	SYB1148-15482	커피아카데미아		2	시간미지정강좌			48	
0	핵심교양	SYB8099-15490	문화콘텐츠스토리텔링전략		3				108	
0	핵심교양	SYB9031-15491	문화기술과사회변동		3				95	
0	핵심교양	SYB9032-15492	문화콘텐츠마케팅전략의수립과집행		3				157	
0	핵심교양	SYB1128-15495	저작권과스마트폰의이해		2				85	
0	핵심교양	SYB9098-15500	생활속의계약과협상		3				125	
0	핵심교양	SYB9099-15501	전략적의사결정과문제해결		3				82	
0	핵심교양	SYB9103-15502	행복한금융생활		3				83	
0	핵심교양	SYB9104-15503	현대사회와신소재		3				93	
0	핵심교양	SYB8098-15506	1인미디어와융합콘텐츠		3				88	
