학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
0	핵심교양/전공심화	CLS1008-15095	인문클래식BL:언어의비밀	전은진	3	화(11:00-13:00)	제1공학관502강의실,
0	핵심교양	CUL6098-15136	생명이란무엇인가?정신과물질	채지형	2	월(11:00-13:00)	자연과학관118강의실
0	핵심교양	CLS1011-15007	예술클래식BL:신화로읽는동화	강민경	3	화(13:00-15:00)	제1공학관502강의실,
0	핵심교양	CUL7048-15013	하루키와함께읽는고전	김지선	2	화(11:00-13:00)	제2공학관203강의실
0	핵심교양	CUL7048-15014	하루키와함께읽는고전	김지선	2	화(15:00-17:00)	제2공학관203강의실
0	핵심교양	CLS1023-15015	인문클래식:문학으로읽는음식과인간	김지선	3	수(13:00-15:00),수(15:00-16:00)	제2공학관203강의실
0	핵심교양	CLS1023-15016	인문클래식:문학으로읽는음식과인간	김지선	3	수(16:00-18:00),수(18:00-19:00)	제2공학관203강의실
0	핵심교양/전공심화	CLS1019-15049	과학클래식:과학과 상상의 인간	우미영	3	목(15:00-17:00)	제2공학관203강의실,
0	핵심교양/전공심화	CLS1025-15050	예술클래식:도시와문학	우미영	3	금(13:00-15:00)	제1공학관501강의실,
0	핵심교양	CUL6086-15162	인간과음악적상상력	정경영	2	화(13:00-15:00)	제2공학관302강의실
0	핵심교양	CUL0104-15235	자유란무엇인가	박찬운	3	수(15:00-16:30),수(16:30-18:00)	제3법학관403호
0	핵심교양	CLS1013-15094	인문클래식:독서의기술	전은진	3	수(13:00-15:00)	제1공학관201강의실,
0	핵심교양/전공심화	CLS1020-15091	과학클래식:과학에게정의를묻다	이채리	3	금(11:00-13:00)	제1공학관502강의실,
0	핵심교양	CLS1007-15097	인문클래식BL:삼국지와인간	박동욱	3	수(13:00-15:00)	제1공학관103강의실,
0	핵심교양/전공심화	CLS1009-15021	사회클래식BL:사랑의역사와문화정치학	김현주	3	목(11:00-13:00)	제1공학관501강의실,
0	핵심교양	CLS1009-15022	사회클래식BL:사랑의역사와문화정치학	김현주	3	목(13:00-15:00)	제1공학관501강의실,
0	핵심교양/전공심화	CLS1021-15028	과학클래식:과학의풍경들	박민아	3	월(16:00-17:30),월(17:30-19:00)	제1공학관209강의실
0	핵심교양	CUL6079-15251	분석과비판	민찬홍	2	목(09:00-11:00)	제2공학관202강의실(녹화전용)
0	핵심교양	CUL6100-15068	Capturing the Essence of Outliers: Exploring the Minds of Innovative Leaders	Stacey Eujung Choi	3	월(13:00-14:30),수(13:00-14:30)	인문관406강의실,인문관308강의실
0	핵심교양	CUL6102-15074	Reading in Science Fiction	Luke Oliver Allum	3	수(13:00-14:30),금(10:30-12:00)	제1공학관203강의실
0	핵심교양	CUL7045-15263	문학과역사적상상력	김치성	2	수(13:00-15:00)	제2공학관302강의실
0	핵심교양	CUL6094-15264	사마천과의대화	황인건	2	화(11:00-13:00)	제2공학관301강의실
0	핵심교양/전공심화	CLS1011-15006	예술클래식BL:신화로읽는동화	강민경	3	화(09:00-11:00)	제1공학관502강의실,
0	핵심교양/전공핵심	CLS1004-15048	과학클래식:과학기술의문화사	김호연	3	월(15:00-16:30),월(16:30-18:00)	제2공학관203강의실
0	핵심교양/전공심화	CLS1007-15096	인문클래식BL:삼국지와인간	박동욱	3	수(09:00-11:00)	제1공학관103강의실,
0	핵심교양	FUT2012-15283	동서양사상을통해본정의	박영미	3	수(09:00-10:30),수(10:30-12:00)	인문관405강의실
0	핵심교양	FUT3007-15284	역사로읽는테크노사이언스	박민아	3	화(16:00-17:30),화(17:30-19:00)	인문관318강의실
0	핵심교양	FUT2010-15285	은유와프레임전략	전지은	3	목(09:00-10:30),목(10:30-12:00)	인문관318강의실
0	핵심교양	CUL6104-15286	수사학으로읽는미디어와대중문화	이은실	3	수(13:00-14:30),수(14:30-16:00)	제1공학관602강의실
0	핵심교양	CUL6101-15071	Globalisation, Ethics and International Development	Michael William Brandon	3	화(14:30-16:00),금(13:00-14:30)	사회과학관650강의실
0	핵심교양	CUL7047-15017	옛소설과현대와의대화	서신혜	3	월(15:00-17:00)	제1공학관505강의실,
0	핵심교양/전공심화	CLS1024-15018	사회클래식:상상의낙원유토피아	서신혜	3	화(11:00-13:00)	제1공학관505강의실,
0	핵심교양	CUL6092-15019	20대의논어읽기	서신혜	3	월(13:00-15:00),시간미지정강좌	제1공학관505강의실,
0	핵심교양	CLS1015-15024	사회클래식:자서전의힘	김현주	3	수(15:00-17:00)	제1공학관501강의실,
0	핵심교양	CUL6099-15135	종의기원과진화	채지형	2	금(13:00-15:00)	자연과학관118강의실
0	핵심교양/전공핵심	CLS1006-15461	예술클래식:천재와광기	임은희	3	수(13:00-14:30),수(14:30-16:00)	제1공학관409강의실
0	핵심교양/전공심화	CLS1010-15462	사회클래식BL:성과인간의대화	임은희	3	목(13:00-15:00)	제1공학관209강의실,
0	핵심교양	CLS1010-15460	사회클래식BL:성과인간의대화	임은희	3	목(11:00-13:00)	제1공학관209강의실,
