학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	CUL2075-15037	지진과생활	이승규	2	수(11:00-13:00)	제2공학관202강의실(녹화전용)		111	
0	핵심교양	GEN9180-15137	4차산업혁명과환경기술	김영모	3	월(16:00-17:30),월(17:30-19:00)	재성토목관302강의실		46	
0	핵심교양	CUL0128-15138	4차산업혁명의이해	조병완	3	목(16:00-17:30),목(17:30-19:00)	재성토목관사이버강의실204호		16	
0	핵심교양	CUL5001-15139	주거학개론	박다연	2	화(09:00-11:00)	제2공학관301강의실		87	
0	핵심교양	GEN6086-15124	생활속의화학	김민경	2	수(11:00-13:00)	사범대학본관계단강의실(312)		115	
0	핵심교양	CUL6003-15209	성인병과운동	석민화	2	월(11:00-13:00)	올림픽체육관230강의실		60	
0	핵심교양	CUL1202-15169	뉴스포츠	유현기	2	수(11:00-13:00)	올림픽체육관114호농구장		66	
0	핵심교양	CUL1202-15170	뉴스포츠	유현기	2	수(09:00-11:00)	올림픽체육관114호농구장		47	
0	핵심교양	CUL1233-15093	로봇시대의논쟁	이채리	3	금(16:00-17:30),금(17:30-19:00)	제1공학관408강의실		81	
0	핵심교양	CUL1188-15459	몸과마음을읽는헬스케어	김형숙	3	수(13:00-14:00),수(14:00-16:00)	한양디지털헬스케어센터다목적강연장		35	
0	핵심교양	CUL6037-15003	과학기술학의새로운지평	김성희	2	목(13:00-15:00)	제2공학관203강의실		30	
0	핵심교양	CUL1223-15029	과학과대중	박민아	3	수(13:00-14:30),수(14:30-16:00)	제1공학관209강의실		33	
0	핵심교양	CUL0126-15252	기초법의학	김원규	2	금(09:00-11:00)	제1공학관201강의실		56	
0	핵심교양	CUL0126-15253	기초법의학	김원규	2	금(15:00-17:00)	의대계단강의동202강의실		52	
0	핵심교양	FUT3012-15277	인문대생을위한객체지향프로그래밍	김윤상	3	금(13:00-16:00)	인문관107강의실		14	
0	핵심교양	FUT2001-15278	가상/증강현실의예술	정해진	3	월(16:00-18:00),월(18:00-19:00)	제2공학관정석현PC4		22	
0	핵심교양	FUT1001-15279	아르테와테크네의만남	정해진	3	월(09:00-10:30),월(10:30-12:00)	인문관318강의실		16	
0	핵심교양	FUT1007-15280	데이터과학트렌드	계승철	3	금(11:00-13:00)	비지정(),인문관107강의실		24	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). SMART-F 강좌.
0	핵심교양	GEN4075-15128	미래지구환경과생태계	김백호	2	목(13:00-15:00)	자연과학관B116강의실		55	
0	핵심교양	CUL6048-15106	식생활과안전	엄애선	2	수(13:00-15:00)	생활과학관B34-B101		7	
0	핵심교양	GEN3086-15208	구급법	성기석	2	수(11:00-13:00)	올림픽체육관230강의실		45	
0	핵심교양	GEN6058-15038	혁신과잡종의과학사	남영	2	목(09:00-11:00)	제2공학관203강의실		34	
0	핵심교양	CUL6025-15127	생명공학의이해	김백호	2	화(13:00-15:00)	자연과학관B116강의실		45	
0	핵심교양	CUL1136-15133	미생물의세계	이진원	2	월(11:00-13:00)	자연과학관102강의실		33	
0	핵심교양	GEN4073-15134	사람과유전자	채지형	2	수(13:00-15:00)	자연과학관118강의실		42	
0	핵심교양	CUL1224-15036	과학의탈국가화	정혜경	3	목(13:00-14:30),목(14:30-16:00)	제1공학관505강의실		56	
0	핵심교양	GEN8039-15039	과학자의리더십	남영	2	목(11:00-13:00)	제2공학관203강의실		37	
0	핵심교양	AIX0007-15424	인공지능의철학	김홍규	3	월(13:00-14:30),월(14:30-16:00)	제1공학관206강의실		35	
0	핵심교양	CUL1134-15129	쿼크에서빅뱅까지	김항배	2	화(15:00-17:00)	자연과학관B117강의실		100	
0	핵심교양	CUL1153-15130	멀티미디어로배우는현대생명과학	신인철	3	수(13:00-14:30),시간미지정강좌	자연과학관B117강의실,		105	
0	핵심교양	GEN6066-15131	생명과바다	이강현	2	월(15:00-17:00)	자연과학관B117강의실		107	
0	핵심교양	CUL1135-15132	4차산업과해양자원	이강현	2	월(13:00-15:00)	자연과학관B117강의실		56	
0	핵심교양	CUL1220-15069	Ethics of Science and Technology	Brian A. Wildeboer	3	월(13:00-14:30),목(14:30-16:00)	인문관112강의실		8	
0	핵심교양	FUT3009-15281	과학기술학의새로운지형도	김홍규	3	금(09:00-10:30),금(10:30-12:00)	인문관312강의실		13	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). IC-PBL(C) 강좌.
0	핵심교양	FUT2013-15282	인문대생을위한트렌드프로그래밍	최승호	3	월(13:00-16:00)	인문관107강의실		19	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). IC-PBL(C), SMART-F 강좌.
0	핵심교양	FUT4006-15292	게임프로그래밍을위한캡스톤디자인	이주호	3	화(09:00-12:00)	인문관107강의실		16	
