학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	CUL3036-15311	스크린영어	Connie Park	3	토(13:00-14:30),토(14:30-16:00)	인문관116강의실		51	
0	핵심교양	CUL3036-15312	스크린영어	박주영	3	목(16:00-17:30),목(17:30-19:00)	인문관404강의실		42	
0	핵심교양	GEN2094-15114	초급일본어	김주연	3	월(09:00-10:30),월(10:30-12:00)	제1공학관602강의실		66	
0	핵심교양	GEN2094-15115	초급일본어	전유나	3	화(09:00-10:30),화(10:30-12:00)	제1공학관602강의실		53	
0	핵심교양	GEN2094-15116	초급일본어	오수진	3	목(09:00-10:30),목(10:30-12:00)	제1공학관602강의실		57	
0	핵심교양	GEN2094-15117	초급일본어	소서현	3	금(13:00-14:30),금(14:30-16:00)	제2공학관510강의실(녹화전용)		69	
0	핵심교양	GEN5014-15009	기초스페인어	진미령	3	화(09:00-11:00)	제1공학관603강의실,		46	
0	핵심교양	GEN5014-15010	기초스페인어	정동희	3	금(13:00-15:00)	제2공학관203강의실,		65	
0	핵심교양	CUL5018-15012	라틴아메리카문화와예술	정동희	3	금(09:00-10:30),금(10:30-12:00)	제2공학관202강의실(녹화전용)		148	
0	핵심교양	GEN7034-15270	초급독일어회화	Wirsching Cornelia Song	2	수(11:00-13:00)	인문관205강의실		43	
0	핵심교양	CUL1169-15066	비즈니스글쓰기:설득의방법	Ian Gareth Robert Jones	3	화(13:00-14:30),금(13:00-14:30)	제1공학관604강의실(녹화전용)		14	
0	핵심교양	CUL1168-15067	이공계를위한영어글쓰기	Adam Turner	3	월(13:00-14:30),목(14:30-16:00)	인문관111강의실		15	
0	핵심교양	GEN1040-15268	초급독일어	김수민	3	금(13:00-14:30),금(14:30-16:00)	인문관312강의실		37	
0	핵심교양	GEN1040-15269	초급독일어	최지수	3	화(13:00-14:30),화(14:30-16:00)	인문관404강의실		46	
0	핵심교양	CUL1170-15064	고급영어토론:설득의기술	Stacey Eujung Choi	3	수(10:30-12:00),금(10:30-12:00)	제1공학관504강의실		22	
0	핵심교양	CUL1171-15065	고급영어토론:협상의기술	Brian A. Wildeboer	3	월(14:30-16:00),목(16:00-17:30)	제2공학관209강의실		11	
0	핵심교양	GEN7028-15075	비즈니스영어업무커뮤니케이션	Michael William Brandon	2	수(11:00-13:00)	인문관211강의실		31	
0	핵심교양	GEN7028-15076	비즈니스영어업무커뮤니케이션	Douglas N. McIntosh	2	화(11:00-13:00)	인문관211강의실		22	
0	핵심교양	GEN5072-15082	영어연기개론	Shelley L. Collins	2	목(13:00-15:00)	제1공학관207강의실		48	
0	핵심교양	GEN7030-15083	영어와남녀의사소통의차이	Mimi Eun Newton	2	금(13:00-15:00)	제2공학관312강의실		16	
0	핵심교양	GEN7024-15085	영어와창의적논리적사고	Michael William Brandon	2	수(13:00-15:00)	인문관121강의실		27	
0	핵심교양	GEN7027-15089	취업영어커뮤니케이션	Matthew John Clement	2	목(13:00-15:00)	제2공학관312강의실		15	
0	핵심교양	FUT3006-15289	엔지니어를위한학술영작문	임동진	3	월(13:00-14:30),월(14:30-16:00)	인문관318강의실		31	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). 영어전용강좌.
0	핵심교양	ENG4017-15419	실용영문법	김경숙	3	토(09:00-10:30),토(10:30-12:00)	제2공학관312강의실		20	
0	핵심교양	GEN2095-15113	중급일본어	배소연	2	수(09:00-11:00)	제1공학관603강의실		47	국적 일본 제외 ˂˃
0	핵심교양	CUL5067-15102	현대중국의시장과통상	장보영	2	목(13:00-15:00)	대학원.토건관202강의실		36	
0	핵심교양	GEN1035-15011	중급스페인어	진미령	2	화(11:00-13:00)	제1공학관603강의실		22	
0	핵심교양	GEN8003-15267	중급독일어회화	Wirsching Cornelia Song	2	수(13:00-15:00)	인문관404강의실		17	
0	핵심교양	GEN7038-15077	비판적글읽기	Ian Gareth Robert Jones	2	월(13:00-15:00)	제1공학관507강의실		20	
0	핵심교양	GEN7024-15086	영어와창의적논리적사고	Luke Oliver Allum	2	목(15:00-17:00)	제1공학관207강의실		20	
0	핵심교양	GEN7027-15088	취업영어커뮤니케이션	Matthew John Clement	2	월(13:00-15:00)	제2공학관312강의실		19	
0	핵심교양	GEN1043-15447	중급중국어	유우	2	금(13:00-15:00)	제1공학관201강의실		36	
0	핵심교양	DIS0016-15404	Banking & Investment Practice	신진호	2	목(16:00-18:00)	대학원.토건관202강의실		37	
