학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
0	핵심교양	GEN5010-15236	지적재산법	임병웅	2	목(11:00-13:00)	제3법학관601호
0	핵심교양/전공심화	VEN3025-15350	창업실무:엔엘코드(No-LowCode)를활용한IT서비스기획	백필호	3	월(16:00-19:00)	HITB2아이디어팩토리
0	핵심교양/전공핵심	VEN2003-15351	창업심화:스타트업 A to Z	윤준수	3	수(09:00-10:00),수(10:00-12:00)	HITB2아이디어팩토리
0	핵심교양/전공심화	VEN3008-15343	창업기초:글로벌스타트업멘토링	강창규	3	월(13:00-14:00),월(14:00-16:00)	HITB2아이디어팩토리
0	핵심교양/전공핵심	VEN2001-15348	창업기초:창업과기업가정신	배태준	3	금(11:00-13:00),시간미지정강좌	사회과학관551강의실,
0	핵심교양	ECO1006-15238	미시경제원론	김광호	2	화(11:00-13:00)	경제금융관112강의실
0	핵심교양	CUL0125-15218	성공취업의이해	안태정	2	월(13:00-15:00)	제2공학관301강의실
0	핵심교양	CUL0125-15219	성공취업의이해	안태정	2	월(15:00-17:00)	제2공학관301강의실
0	핵심교양	CUL0125-15220	성공취업의이해	홍주영	2	화(15:00-17:00)	제2공학관301강의실
0	핵심교양	CUL6004-15221	직업진로와미래설계	홍주영	2	수(15:00-17:00)	제2공학관301강의실
4	핵심교양	CUL1208-15222	기술시장데이터분석	최재영	3	수(13:00-14:30),수(14:30-16:00)	융합교육관강의실(705-602)
4	핵심교양	CUL1209-15223	기술전략과R&D기획	조대명	3	수(09:00-10:30),수(10:30-12:00)	융합교육관강의실(705-602)
0	핵심교양	CUL1185-15141	전기에너지개론	문준	3	시간미지정강좌,시간미지정강좌	
0	핵심교양	GEN7045-15043	생태친화적기업경영	안광일	3	시간미지정강좌,시간미지정강좌	
0	핵심교양	GEN6023-15044	상상과창조	이지은	3	시간미지정강좌,시간미지정강좌	
0	핵심교양	CUL1159-15103	아시아시장과소비자	언초	3	화(13:00-15:00),화(15:00-16:00)	경영관B109강의실
0	핵심교양	CUL1229-15104	AI혁명:최첨단비즈니스전략마스터하기	박성우	3	화(18:00-19:30),화(19:30-21:00)	경영관B110강의실
0	핵심교양	INO0001-15025	유쾌한이노베이션	정효찬	2	목(11:00-13:00)	제1공학관201강의실
