학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
0	핵심교양	CUL7103-15226	금융상품과조세의이해	문성훈	3	월(13:00-14:30),월(14:30-16:00)	제3법학관603호
0	핵심교양	CUL0141-15227	시민생활과세법	오윤	3	월(13:00-14:30),월(14:30-16:00)	제3법학관304호
0	핵심교양	GEN3016-15229	생활법률	권대우	2	화(09:00-11:00)	제3법학관403호
0	핵심교양	GEN3016-15230	생활법률	최영승	2	수(13:00-15:00)	제3법학관102호
0	핵심교양	CUL1151-15233	형법의이해	박세영	3	목(13:00-14:30),목(14:30-16:00)	제3법학관602호
0	핵심교양	CUL1129-15432	자기를찾아가는에니어그램	정기수	2	목(15:00-17:00)	제1공학관209강의실
0	핵심교양	CUL1210-15449	소통과갈등의이해	박철곤	2	수(11:00-13:00)	제1공학관201강의실
0	핵심교양	CUL2025-15216	가족문제	안윤영	2	수(11:00-13:00)	제1공학관503강의실
0	핵심교양	CUL0111-15433	통일함께만들기	홍용표	3	화(10:00-11:30),화(11:30-13:00)	제2공학관302강의실
0	핵심교양	GEN6007-15231	대중문화와법	박성호	2	목(09:00-11:00)	제3법학관403호
0	핵심교양	CUL7107-15232	일의세계와노동법	고수현	3	목(13:00-14:30),목(14:30-16:00)	제3법학관304호
0	핵심교양	CUL1150-15234	헌법의이해	김휘홍	3	수(13:00-14:30),수(14:30-16:00)	제3법학관204호
0	핵심교양	CUL1237-15237	인간다운생활과사회보장법	장승혁	3	목(16:00-17:30),목(17:30-19:00)	제3법학관204호
0	핵심교양	FUT2015-15254	회복을위한인문학과다크리서치:불,전염병,멸종의어젠다읽기	신성환	3	월(13:00-14:30),월(14:30-16:00)	인문관B104강의실
0	핵심교양	CUL1118-15063	The Language of Global Cuisine	Mimi Eun Newton	2	목(13:00-15:00)	제1공학관503강의실
0	핵심교양	CUL2016-15352	관광과지리	장민희	2	목(09:00-11:00)	사회과학관103강의실
0	핵심교양	GEN5048-15354	호텔산업의이해	양은주	2	수(13:00-15:00)	사회과학관103강의실
0	핵심교양	CUL2040-15224	법과인권	최용성	2	월(13:00-15:00)	제3법학관601호
0	핵심교양	CUL0139-15225	법과국제공동체	김성원	3	화(13:00-14:30),화(14:30-16:00)	제3법학관204호
0	핵심교양	CUL0120-15314	중국비즈니스문화와에티켓	박대훈	3	시간미지정강좌,시간미지정강좌	
0	핵심교양	CUL1201-15359	의사소통과이미지메이킹론	장아름	3	금(13:00-14:30),금(14:30-16:00)	사회과학관304강의실
0	핵심교양	CUL1142-15100	노인에대한이해	장혜영	2	화(13:00-15:00)	제2공학관205강의실
0	핵심교양	CUL1119-15101	인구변화와미래복지	전영수	3	월(13:00-15:00)	대학원.토건관252강의실,
0	핵심교양	CUL0092-15112	경계의시대,공존을말하다	강경란	2	수(13:00-15:00)	제1공학관207강의실
0	핵심교양	GEN7033-15105	비전공자를위한재무금융	이창훈	3	수(16:00-17:30),수(17:30-19:00)	경영관B110강의실
0	핵심교양	CUL7100-15041	위기의시민정치:혐오,갈등,양극화	오현진	2	수(13:00-15:00)	융합교육관강의실(705-301)
0	핵심교양	CUL1219-15004	ESG의이론과실제	김성희	3	수(09:00-10:30),수(10:30-12:00)	제2공학관203강의실
0	핵심교양	GEN3096-15061	Modern Stress and You	Nathan John Lucas	2	목(15:00-17:00)	제1공학관305강의실
0	핵심교양	CUL3101-15059	Cultural and Ethnic Diversity In Korea	S. Afflick-Smith	2	금(13:00-15:00)	제1공학관305강의실
0	핵심교양	CUL2026-15107	패션과스타일커뮤니케이션	이지연	3	수(09:00-10:30),수(10:30-12:00)	생활과학관디자인실습실
0	핵심교양	CUL2026-15108	패션과스타일커뮤니케이션	이지연	3	수(13:00-14:30),수(14:30-16:00)	생활과학관디자인실습실
0	핵심교양	CUL1116-15058	Animal Ethics	Mark A. Rublik	2	금(13:00-15:00)	제1공학관401강의실
0	핵심교양	GEN5028-15228	민법의이해	권대우	3	화(13:00-14:30),화(14:30-16:00)	제3법학관403호
0	핵심교양	CUL1137-15212	놀이의재발견	권선주	2	목(13:00-15:00)	제1공학관504강의실
0	핵심교양	CUL7101-15213	영화속인간발달	권선주	2	목(15:00-17:00)	제1공학관504강의실
0	핵심교양	CUL1199-15357	미국의문화와사회	박순석	3	화(13:00-14:30),화(14:30-16:00)	사회과학관103강의실
