학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	CUL1122-15485	창의적프로그래밍	장병철	2	목(17:00-18:00),목(18:00-19:00)	제2공학관최병부SW실습실(303)		42	
0	핵심교양	CUL1226-15418	인문학도를위한창의적코딩	성기혁	2	목(11:00-12:00),목(12:00-13:00)	제2공학관최병부SW실습실(303)		63	
0	핵심교양	AIX0003-15390	AI+X:딥러닝	원영준	3	화(13:00-15:00)	제1공학관201강의실,		41	Connected Class
0	핵심교양	AIX0002-15396	AI+X:인공지능	류호경	3	목(09:00-11:00)	제1공학관201강의실,		236	Connected Class
0	핵심교양	AIX0004-15378	AI+X:R-Py컴퓨팅	이정환	3	월(09:00-11:00)	제1공학관201강의실,		46	Connected Class
0	핵심교양	AIX0005-15384	AI+X:머신러닝	박태준	3	화(11:00-13:00)	제1공학관201강의실,		174	Connected Class
0	핵심교양	CUL1122-15416	창의적프로그래밍	조인순	2	금(11:00-12:00),금(12:00-13:00)	제2공학관최병부SW실습실(303)		29	
0	핵심교양	CUL1138-15417	인공지능과기계학습	장병철	2	화(11:00-13:00)	제2공학관SW융합실습실(507)		37	
0	핵심교양	CUL1138-15514	인공지능과기계학습	성기혁	2	시간미지정강좌			65	
0	핵심교양	CUL1122-15517	창의적프로그래밍	박주열	2	수(11:00-12:00),수(12:00-13:00)	제2공학관해동AILab_402		56	
