학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
0	핵심교양	CUL1212-15465	MBTI유형에따른대화전략	정종수	3	목(09:00-11:00),목(11:00-12:00)	제1공학관504강의실		87	
0	핵심교양	CUL0047-15294	영화로보는서양의역사	고광열	2	월(11:00-13:00)	제1공학관409강의실		48	
0	핵심교양	CUL0047-15295	영화로보는서양의역사	고광열	2	월(13:00-15:00)	제1공학관409강의실		50	
0	핵심교양	GEN1092-15302	한국근현대사	정종원	2	목(13:00-15:00)	제2공학관301강의실		92	
0	핵심교양	GEN1092-15303	한국근현대사	정종원	2	목(15:00-17:00)	제2공학관301강의실		86	
0	핵심교양	GEN1092-15304	한국근현대사	정대훈	2	화(17:00-19:00)	제2공학관301강의실		84	
0	핵심교양	CUL3084-15309	영.미문화와영화	Tory S. Thorkelson	3	월(13:00-14:30),월(14:30-16:00)	인문관308강의실		5	
0	핵심교양	CUL6017-15305	외국인을위한한국의역사와문화	주혁	2	화(13:00-15:00)	인문관405강의실		17	외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
0	핵심교양	CUL7046-15042	채움과비움:나이듦의인문학적이해	윤성호	3	시간미지정강좌,시간미지정강좌			196	
0	핵심교양	CUL5066-15161	고전음악의이해	김경화	2	목(13:00-15:00)	제2공학관302강의실		75	
0	핵심교양	CUL1216-15167	호신술과자기방어	손성원	2	금(09:00-11:00)	올림픽체육관유도장		46	
0	핵심교양	CUL1216-15168	호신술과자기방어	김만근	2	금(13:00-15:00)	올림픽체육관유도장		56	
0	핵심교양	CUL1148-15176	4차산업혁명속공연예술과멀티미디어콘텐츠	우종희	3	목(13:00-14:30),목(14:30-16:00)	올림픽체육관227강의실		37	
0	핵심교양	GEN2079-15177	영화의이해	김윤지	2	화(15:00-17:00)	IT.BT관영화시사실		107	
0	핵심교양	GEN2078-15179	연극의이해	임연진	2	월(11:00-13:00)	올림픽체육관231강의실		52	
0	핵심교양	CUL1225-15008	동양신화와문화콘텐츠스토리텔링	강민경	3	수(13:00-15:00)	제1공학관502강의실,		42	
0	핵심교양	CUL7042-15047	두문화의인간학	김호연	3	월(13:00-15:00)	제2공학관203강의실,		25	
0	핵심교양	CUL1041-15154	전통음악감상	박지인	2	월(11:00-13:00)	제2음악관301강의실		47	내국인학생 대상 강좌^국적 대한민국 동일 =
0	핵심교양	CUL1041-15155	전통음악감상	박지인	2	월(13:00-15:00)	제2음악관301강의실		29	외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
0	핵심교양	CUL1041-15156	전통음악감상	이윤정	2	월(11:00-13:00)	제2음악관403강의실		26	외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
0	핵심교양	CUL1232-15163	질병과장애,고통의음악학	계희승	2	월(13:00-15:00)	제2공학관302강의실		94	
0	핵심교양	CUL7016-15178	영화의역사	김윤지	2	수(11:00-13:00)	IT.BT관영화시사실		82	
0	핵심교양	CUL7043-15092	기술시대의인간과윤리	이채리	3	금(13:00-15:00)	제1공학관502강의실,		42	
0	핵심교양	KOR4056-15255	소설과영화	신성환	2	목(15:00-17:00)	인문관312강의실		73	
0	핵심교양	KLE2009-15256	문학의이해	정원정	2	화(11:00-13:00)	인문관311강의실		49	
0	핵심교양	KLE2009-15257	문학의이해	차성환	2	금(13:00-15:00)	인문관311강의실		44	
0	핵심교양	KLE2009-15258	문학의이해	양진호	2	목(13:00-15:00)	인문관311강의실		62	
0	핵심교양	CUL0021-15259	한문의이해	박은정	2	목(15:00-17:00)	제2공학관202강의실(녹화전용)		89	
0	핵심교양	CUL1164-15260	4차산업혁명:융합적분석과인문학의대안	이도흠	3	시간미지정강좌,시간미지정강좌			85	
0	핵심교양	CUL4088-15296	중국의역사와문화	한상협	2	월(13:00-15:00)	제2공학관202강의실(녹화전용)		54	
0	핵심교양	CUL4088-15297	중국의역사와문화	한상협	2	수(15:00-17:00)	제2공학관202강의실(녹화전용)		67	
0	핵심교양	CUL1056-15301	한국의역사와문화	김민석	2	목(13:00-15:00)	제1공학관603강의실		68	
0	핵심교양	FUT3004-15276	문화콘텐츠아나토미:비평이론과실제	신성환	3	목(12:00-14:00),목(14:00-15:00)	인문관318강의실		42	개강 후 미래인문학융합학부 과목과 합반 예정(핵심교양으로 합반). SMART-F 강좌.
0	핵심교양	CUL6077-15261	상상력을자극하는한자교실	박수밀	2	목(13:00-15:00)	제2공학관202강의실(녹화전용)		96	
0	핵심교양	CUL1186-15262	문학과예술이론의아포리아에대한동서양의대화	이도흠	3	시간미지정강좌,시간미지정강좌			70	
0	핵심교양	CUL0072-15265	독일문학과영화	박현용	2	목(11:00-13:00)	인문관312강의실		34	
0	핵심교양	CUL1117-15060	Introduction to Digital Photography	Ed Topliffe	2	목(13:00-15:00)	제1공학관406강의실		31	
0	핵심교양	CUL5005-15322	불교사상과인생	마해륜	2	목(11:00-13:00)	인문관311강의실		48	
