학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
0	핵심교양	GEN4079-15508	사회봉사		1		
0	핵심교양	JOB2003-15511	현장실습(일반교양)	김태식	15		
0	핵심교양	CUL5013-15196	요가	최현주	2	월(11:00-13:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL5013-15197	요가	최현주	2	월(13:00-15:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL4032-15198	교양배구1	양진웅	2	화(13:00-15:00)	올림픽체육관메인홀
0	핵심교양	CUL4032-15199	교양배구1	양진웅	2	화(15:00-17:00)	올림픽체육관메인홀
0	핵심교양	DAN1037-15200	필라테스	정경화	2	수(09:00-11:00)	올림픽체육관116호사교무용홀
0	핵심교양	DAN1037-15203	필라테스	황민경	2	화(11:00-13:00)	올림픽체육관116호사교무용홀
0	핵심교양	DAN1037-15204	필라테스	순아름	2	금(09:00-11:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL3016-15205	교양댄스스포츠	김현진	2	목(11:00-13:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL1236-15171	교양펜싱	김정환	2	수(13:00-15:00)	올림픽체육관114호농구장
0	핵심교양	CUL1236-15172	교양펜싱	배종국	2	수(15:00-17:00)	올림픽체육관114호농구장
0	핵심교양	CUL3005-15191	운동과다이어트	김다흰	2	화(13:00-15:00)	올림픽체육관334강의실
0	핵심교양	GEN4066-15434	기초수학	Shen yang	2	시간미지정강좌	
0	핵심교양	DAN1037-15201	필라테스	황민경	2	목(13:00-15:00)	올림픽체육관116호사교무용홀
0	핵심교양	DAN1037-15202	필라테스	황민경	2	화(09:00-11:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL3016-15206	교양댄스스포츠	김현진	2	화(13:00-15:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL3016-15207	교양댄스스포츠	김현진	2	화(15:00-17:00)	올림픽체육관116호사교무용홀
0	핵심교양	CUL4030-15180	교양농구1	정재훈	2	월(09:00-11:00)	올림픽체육관114호농구장
0	핵심교양	CUL4030-15181	교양농구1	정재훈	2	월(13:00-15:00)	올림픽체육관114호농구장
0	핵심교양	CUL4036-15187	교양탁구1	홍순화	2	화(09:00-11:00)	올림픽체육관종합실기장
0	핵심교양	CUL4036-15188	교양탁구1	홍순화	2	화(11:00-13:00)	올림픽체육관종합실기장
0	핵심교양	CUL4034-15194	교양테니스1	김종희	2	화(15:00-17:00)	비지정()
0	핵심교양	CUL4034-15195	교양테니스1	김종희	2	목(15:00-17:00)	비지정()
0	핵심교양	CUL6056-15185	교양웨이트트레이닝	박종진	2	목(09:00-11:00)	올림픽체육관웨이트트레이닝실
0	핵심교양	CUL6056-15186	교양웨이트트레이닝	유현기	2	화(09:00-11:00)	올림픽체육관웨이트트레이닝실
0	핵심교양	CUL4028-15189	교양축구1	최정호	2	목(09:00-11:00)	비지정()
0	핵심교양	CUL4028-15190	교양축구1	최정호	2	수(09:00-11:00)	비지정()
0	핵심교양	CUL5036-15192	교양배드민턴	맹이섭	2	금(11:00-13:00)	올림픽체육관114호농구장
0	핵심교양	CUL5036-15193	교양배드민턴	맹이섭	2	금(13:00-15:00)	올림픽체육관114호농구장
0	핵심교양	GEN6045-15054	기초학술영어	John Finucane	3	화(11:00-13:00)	제2공학관308강의실,
0	핵심교양	GEN6045-15056	기초학술영어	Mark A. Rublik	3	금(11:00-13:00),시간미지정강좌	제2공학관311강의실,
0	핵심교양	CUL6056-15182	교양웨이트트레이닝	강성훈	2	목(11:00-13:00)	올림픽체육관웨이트트레이닝실
0	핵심교양	CUL6056-15183	교양웨이트트레이닝	강성훈	2	목(13:00-15:00)	올림픽체육관웨이트트레이닝실
0	핵심교양	CUL6056-15184	교양웨이트트레이닝	조아라	2	화(11:00-13:00)	올림픽체육관웨이트트레이닝실
0	핵심교양	GEN6045-15052	기초학술영어	Mimi Eun Newton	3	목(11:00-13:00)	인문관210강의실,
0	핵심교양	GEN6045-15053	기초학술영어	Connie Park	3	월(13:00-15:00)	인문관210강의실,
0	핵심교양	GEN6045-15055	기초학술영어	Joshua Huewe	3	화(11:00-13:00)	제2공학관309강의실,
0	핵심교양	CUL1230-15165	교양풋살	최정호	2	목(13:00-15:00)	비지정()
0	핵심교양	CUL1230-15166	교양풋살	최정호	2	수(13:00-15:00)	비지정()
