학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
5	전공심화	APA4011-10491	실내디자인	최한희	3	화(16:00-17:30),화(17:30-19:00)	제1공학관407강의실		16	
4	전공심화	ARD2001-10492	주거론	김미정	3	화(09:00-10:30),목(10:30-12:00)	제1공학관305강의실		23	
5	전공핵심	ARD4012-10493	건축기획	신민재	3	수(16:00-17:30),수(17:30-19:00)	제1공학관604강의실(녹화전용)		48	
3	전공핵심	ARE2007-10494	건축설비개론	박성중	3	수(18:00-19:30),수(19:30-21:00)	제1공학관202강의실		60	
3	전공기초(필수)	ARE3082-10495	컴퓨터활용건축설계특론	김미경	3	화(09:00-11:00),화(11:00-13:00)	제2공학관정석현PC3		28	
3	전공핵심	ARE3085-10496	건축재료및활용	김재경	3	금(13:00-14:30),금(14:30-16:00)	제1공학관204강의실		56	
4	전공핵심	ARE4026-10497	환경과생태건축	맹민정	3	월(09:00-10:30),월(10:30-12:00)	제1공학관103강의실		61	
3	전공핵심	ARE4092-10498	건축설계스튜디오3	임진수	6	월(13:00-14:00),목(14:00-15:00),월(14:00-18:00),목(15:00-19:00)	비지정()		13	
4	전공핵심	ARE4095-10499	건축설계스튜디오5	맹민정	6	월(13:00-14:00),목(13:00-14:00),월(14:00-18:00),목(14:00-18:00)	비지정()		16	
5	전공심화	ARE4097-10500	건축설계스튜디오7	김재경	6	토(09:00-11:00),토(11:00-15:00),토(15:00-19:00)	비지정()		6	
4	전공심화	ARE4101-10501	예술과기술	Christian Schweitzer	3	금(09:00-10:30),금(10:30-12:00)	제1공학관607강의실(공학대학원전용)		19	
4	전공핵심	ARE4106-10502	현대건축의역사와이론	남성택	3	화(10:30-12:00),수(09:00-10:30)	제2공학관501강의실		57	
4	전공심화	ARE5000-10503	건축공간행태론	황희준	3	금(13:00-14:30),금(14:30-16:00)	제1공학관205강의실		19	
4	전공핵심	ARE5016-10506	건설경영	최훈	3	화(13:00-14:30),화(14:30-16:00)	제1공학관404강의실		69	
3	교양필수	GEN1100-10508	공학도를위한창의적프로그래밍	신수연	2	목(11:00-12:00),목(12:00-13:00)	제2공학관401강의실		64	공학인증구분
4	전공심화	ARE5001-10504	디지털디자인스튜디오	전한종	3	수(13:00-14:30),수(14:30-16:00)	과학기술관건축CAD센터		18	
5	전공심화	ARE5003-10505	건축연구	안기현	3	월(18:00-19:30),월(19:30-21:00)	제2공학관301강의실		42	
3	교양필수	GEN1100-12530	공학도를위한창의적프로그래밍	김도희	2	목(11:00-12:00),목(12:00-13:00)	제2공학관SW융합실습실(507)		25	공학인증구분
2	전공핵심	ARE4088-12835	건축설계스튜디오1	이혜승	6	화(13:00-14:00),금(13:00-14:00),화(14:00-18:00),금(14:00-18:00)	비지정()		16	
2	전공핵심	ARE4088-12836	건축설계스튜디오1	김나운	6	화(13:00-14:00),금(13:00-14:00),화(14:00-18:00),금(14:00-18:00)	비지정()		8	
2	전공핵심	ARE4088-12837	건축설계스튜디오1	박선영	6	화(13:00-14:00),금(13:00-14:00),화(14:00-18:00),금(14:00-18:00)	비지정()		9	
2	전공핵심	ARE4088-12838	건축설계스튜디오1	정대건	6	화(13:00-14:00),금(13:00-14:00),화(14:00-18:00),금(14:00-18:00)	비지정()		13	
1	전공기초(필수)	ARE4086-12828	기본설계1	고현민	3	화(13:00-14:00),화(14:00-18:00)	비지정()		21	공학인증구분
1	전공기초(필수)	ARE4086-12829	기본설계1	최수희	3	화(13:00-14:00),화(14:00-18:00)	비지정()		16	공학인증구분
1	전공기초(필수)	ARE4086-12830	기본설계1	김명재	3	수(13:00-14:00),수(14:00-18:00)	비지정()		13	공학인증구분
1	전공기초(필수)	ARE4086-12831	기본설계1	이상현	3	수(13:00-14:00),수(14:00-18:00)	비지정()		14	공학인증구분
1	교양필수	CUL0202-12511	문화기술인간	홍유진	2	금(11:00-13:00)	제1공학관409강의실		46	공학인증구분
1	교양필수	CUL0202-12512	문화기술인간	김봉국	2	금(11:00-13:00)	제1공학관501강의실		22	공학인증구분
