학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공심화	ITE4053-11055	딥러닝및응용	이경용	3	월(13:00-14:30),월(14:30-16:00)	인텔리전스컴퓨팅룸4		8	
3	전공심화	ITE4052-11054	컴퓨터비전	김동진	3	월(13:00-14:30),목(13:00-14:30)	비지정(),인텔리전스컴퓨팅룸3		52	
3	전공심화	SOI3007-11057	인지과학실험	임형욱	3	목(16:00-17:30),목(17:30-19:00)	인텔리전스컴퓨팅룸3		9	
4	전공심화	SOI4004-11059	뉴로이미징	강준	3	월(09:00-10:30),월(10:30-12:00)	인텔리전스컴퓨팅룸1		11	
4	전공심화	SOI4006-11061	인공지능프로젝트1	임형욱	3	시간미지정강좌,시간미지정강좌	비지정()		22	
3	전공핵심	CSE4007-11063	인공지능	백성용	3	수(09:00-10:30),수(10:30-12:00)	인텔리전스컴퓨팅룸4		59	
3	전공심화	ITE4052-11065	컴퓨터비전	김동진	3	월(14:30-16:00),목(14:30-16:00)	인텔리전스컴퓨팅룸3		57	
4	전공심화	ITE4053-11066	딥러닝및응용	이경용	3	금(09:00-10:30),금(10:30-12:00)	인텔리전스컴퓨팅룸4		23	
3	전공심화	SOI3012-11069	데이터사이언스연구실현장실습1	노영태	1	시간미지정강좌	비지정()		7	
4	전공심화	SOI4006-11071	인공지능프로젝트1	김현준	3	시간미지정강좌,시간미지정강좌	인텔리전스컴퓨팅룸1		44	
4	전공심화	SOI4008-11072	디지털헬스케어리터러시및연결	김형숙	3	화(13:00-14:30),화(14:30-16:00)	인텔리전스컴퓨팅룸3		6	
4	전공심화	SOI4010-11073	컴퓨테이셔널소셜사이언스	한경식	3	수(15:00-16:30),수(16:30-18:00)	인텔리전스컴퓨팅룸2		18	
2	전공기초(필수)	CSE2010-12768	자료구조론	김현준	3	수(09:00-11:00),금(09:00-11:00)	인텔리전스컴퓨팅룸3		55	
2	전공핵심	SOI1009-12770	머신러닝1	김미숙	3	화(15:00-17:00),화(17:00-19:00)	인텔리전스컴퓨팅룸4		58	
1	전공기초(필수)	ITE1014-12767	소프트웨어입문설계	한경식	3	수(09:00-11:00),목(09:00-14:00)	인텔리전스컴퓨팅룸1		43	
2	전공핵심	ITE2037-12769	객체지향시스템설계	노영태	3	목(09:00-11:00),목(11:00-13:00)	인텔리전스컴퓨팅룸4		56	
3	전공심화	SOI3012-12771	데이터사이언스연구실현장실습1	김미숙	1	시간미지정강좌	비지정()		2	
3	전공심화	SOI3012-12772	데이터사이언스연구실현장실습1	김동진	1	시간미지정강좌	비지정()		10	
3	전공심화	SOI3012-12773	데이터사이언스연구실현장실습1	백성용	1	시간미지정강좌	비지정()		7	
2	전공기초(필수)	MAT2017-13206	확률통계론	김성신	3	목(13:00-14:30),목(14:30-16:00)	인텔리전스컴퓨팅룸4		41	
1	교양필수	GEN5029-12766	커리어개발Ⅰ:취.창업진로로드맵	김형숙	1	월(16:00-17:00)	인텔리전스컴퓨팅룸2		10	공학인증구분
1	교양필수	GEN5029-12762	커리어개발Ⅰ:취.창업진로로드맵	김현준	1	화(16:00-17:00)	인텔리전스컴퓨팅룸3		17	공학인증구분
1	교양필수	GEN5029-12763	커리어개발Ⅰ:취.창업진로로드맵	임형욱	1	화(17:00-18:00)	인텔리전스컴퓨팅룸1		15	공학인증구분
1	교양필수	GEN5029-12765	커리어개발Ⅰ:취.창업진로로드맵	김미숙	1	목(16:00-17:00)	인텔리전스컴퓨팅룸1		11	공학인증구분
1	전공기초(필수)	ITE1014-12262	소프트웨어입문설계	한경식	3	화(09:00-11:00),화(11:00-16:30)	인텔리전스컴퓨팅룸1		4	
2	전공핵심	ITE2037-12263	객체지향시스템설계	노영태	3	화(09:00-11:00),화(11:00-13:00)	인텔리전스컴퓨팅룸4		60	
2	전공기초(필수)	MAT2017-12264	확률통계론	김성신	3	화(13:00-14:30),수(13:00-14:30)	인텔리전스컴퓨팅룸4,인텔리전스컴퓨팅룸3		60	
1	전공기초(필수)	MAT2020-12265	이산수학	백성용	3	월(09:00-10:30),월(13:00-14:30)	IT.BT관207강의실		87	
1	전공핵심	SOI1003-12266	데이터사이언스기초	임형욱	3	수(11:00-12:30),금(11:00-12:30)	제2공학관501강의실		71	
2	전공핵심	SOI1009-12267	머신러닝1	김미숙	3	월(09:00-11:00),수(17:00-19:00)	인텔리전스컴퓨팅룸4		36	
2	전공핵심	COE3051-12256	공업수학1	노우석	3	월(16:00-17:30),목(16:00-17:30)	제1공학관302강의실		44	
2	전공기초(필수)	CSE2010-12257	자료구조론	김현준	3	월(11:00-13:00),수(11:00-13:00)	인텔리전스컴퓨팅룸4,인텔리전스컴퓨팅룸3		67	
1	전공기초(필수)	GEN2052-12259	미분적분학1	김동영	3	화(13:00-14:30),금(09:00-10:30)	제1공학관403강의실		65	공학인증구분
1	교양필수	GEN5029-12260	커리어개발Ⅰ:취.창업진로로드맵	노영태	1	월(16:00-17:00)	인텔리전스컴퓨팅룸1		13	공학인증구분
4	전공심화	ITE4005-12760	데이터사이언스	채동규	3	목(09:00-10:30)	비지정(),IT.BT관508강의실		177	
2	교양필수	GEN6032-12448	전문학술영어	Mark A. Rublik	3	수(14:30-16:00),금(16:00-17:30)	제2공학관306강의실,제2공학관311강의실		10	공학인증구분
2	교양필수	GEN6032-12449	전문학술영어	Mimi Eun Newton	3	수(14:30-16:00),금(16:00-17:30)	제2공학관307강의실,제1공학관206강의실		17	공학인증구분
2	교양필수	GEN6032-12450	전문학술영어	Hugh Newton	3	수(14:30-16:00),금(16:00-17:30)	제2공학관308강의실,제1공학관207강의실		24	공학인증구분
2	교양필수	GEN6032-12451	전문학술영어	Luke Oliver Allum	3	수(14:30-16:00),금(16:00-17:30)	제2공학관309강의실,제1공학관406강의실		13	공학인증구분
