학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공심화	COE1010-10175	실용공학연구1	최성택	1	시간미지정강좌	비지정()
3	전공심화	ECO3058-10177	지역경제	김홍배	3	금(16:00-17:30),금(17:30-19:00)	제2공학관SW융합실습실(507)
3	교양필수	GEN5026-10178	테크노경영학(스타트업종합설계)	박찬용	3	월(10:30-12:00)	제1공학관601강의실,
3	전공심화	TRE3003-10180	교통계획	최성택	3	수(13:00-14:30),목(10:30-12:00)	제2공학관313강의실(녹화전용),제1공학관409강의실
3	전공핵심	URE2008-10181	GIS와도시공간분석	김현수	3	화(13:00-15:00),화(15:00-17:00)	비지정()
3	전공핵심	URE3021-10182	도시설계3	리나	4	목(13:00-15:00),목(15:00-19:00)	비지정()
4	전공핵심	URE4008-10183	도시공학종합설계1(URIP)	이수기	4	시간미지정강좌,시간미지정강좌	비지정()
4	전공심화	COE1012-10176	실용공학연구3	이수기	1	시간미지정강좌	비지정()
1	전공기초(필수)	CUL3011-11228	일반물리학및실험1	이원욱	4	목(13:00-15:00),화(15:00-17:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)
3	전공심화	URE4010-10184	도시설계론	박진아	3	금(13:00-14:30),금(14:30-16:00)	제1공학관407강의실
4	전공심화	URE4030-10185	부동산금융및투자	유명한	3	수(16:00-17:30),수(17:30-19:00)	제1공학관203강의실
3	전공심화	URE4031-10186	도시및부동산경제	이창무	3	월(13:00-14:30),월(14:30-16:00)	제2공학관313강의실(녹화전용)
1	전공기초(필수)	CHM1005-11354	일반화학및실험1	김민경	4	월(09:00-11:00),시간미지정강좌,수(13:00-15:00)	제1공학관603강의실,,자연과학관일반화학실험실4(122),자연과학관일반화학실험실3(121)
2	전공기초(필수)	COE3051-11355	공업수학1	신교일	3	월(14:30-16:00),목(14:30-16:00)	제1공학관508강의실
1	전공기초(필수)	GEN2052-11230	미분적분학1	최나리	3	월(14:30-16:00),수(09:00-10:30)	제1공학관402강의실
2	전공기초(필수)	ENE4044-11361	컴퓨터공학	최현아	3	금(13:00-15:00),금(15:00-17:00)	제2공학관정석현PC3
1	교양필수	GEN5029-11363	커리어개발Ⅰ:취.창업진로로드맵	이수기	1	화(09:00-10:00)	제1공학관208강의실
2	교양필수	GEN6032-11364	전문학술영어	John Finucane	3	월(13:00-14:30),목(16:00-17:30)	제2공학관305강의실
1	전공핵심	URE1002-11366	도시와인간	이수기	3	월(16:00-17:30),월(17:30-19:00)	제2공학관208강의실
2	전공핵심	URE2006-11367	도시계획개론	김흥순	3	월(16:00-17:30),화(10:30-12:00)	신소재공학관702호/703호
2	전공핵심	URE3011-11368	도시설계1	박진아	4	화(13:00-15:00),화(15:00-19:00)	비지정()
2	전공기초(필수)	COE3051-11201	공업수학1	김재희	3	월(14:30-16:00),목(14:30-16:00)	제1공학관302강의실
1	교양필수	CUL0203-11189	AI시대쓰기의힘	노희호	2	화(11:00-13:00)	제1공학관206강의실
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12548	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12549	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
1	전공기초(필수)	CUL3011-12557	일반물리학및실험1	천병구	4	목(13:00-15:00),화(15:00-17:00)	제1공학관305강의실,,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실3(212)
1	전공기초(필수)	GEN2052-12576	미분적분학1	허영식	3	월(14:30-16:00),수(09:00-10:30)	제1공학관403강의실
2	전공기초(필수)	ENE4044-12942	컴퓨터공학	박자영	3	금(13:00-15:00),금(15:00-17:00)	제2공학관정석현PC4
4	전공핵심	URE4008-12943	도시공학종합설계1(URIP)	이창무	4	시간미지정강좌,시간미지정강좌	비지정()
4	전공핵심	URE4008-12944	도시공학종합설계1(URIP)	박진아	4	시간미지정강좌,시간미지정강좌	비지정()
2	전공핵심	URE2006-12945	도시계획개론	이주일	3	수(13:00-14:30),수(14:30-16:00)	제1공학관607강의실(공학대학원전용)
2	교양필수	CUL1138-12006	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	전공핵심	URE3011-13249	도시설계1	홍상현	4	화(13:00-15:00),화(15:00-19:00)	비지정()
2	전공핵심	URE3011-13250	도시설계1	리나	4	화(13:00-15:00),화(15:00-19:00)	비지정()
1	교양필수	GEN5029-12939	커리어개발Ⅰ:취.창업진로로드맵	최성택	1	화(09:00-10:00)	제1공학관209강의실
1	교양필수	GEN5029-12940	커리어개발Ⅰ:취.창업진로로드맵	박진아	1	화(09:00-10:00)	제1공학관302강의실
1	교양필수	GEN5029-12941	커리어개발Ⅰ:취.창업진로로드맵	이창무	1	화(09:00-10:00)	제1공학관303강의실
2	전공기초(필수)	COE3051-12036	공업수학1	이성열	3	월(14:30-16:00),목(14:30-16:00)	제1공학관303강의실
2	교양필수	GEN6032-12411	전문학술영어	Joshua Huewe	3	월(13:00-14:30),목(16:00-17:30)	제2공학관306강의실
1	교양필수	CUL0203-12454	AI시대쓰기의힘	임은희	2	화(11:00-13:00)	제1공학관406강의실
1	교양필수	CUL0203-12455	AI시대쓰기의힘	문혜연	2	화(11:00-13:00)	제1공학관507강의실
