학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공심화	DME4005-10107	시스템설계	이동진	3	월(09:00-10:30),수(10:30-12:00)	미래자동차연구센터103강의실		37	
3	전공핵심	ECE3008-10108	신호와시스템	조한신	3	월(10:30-12:00),화(09:00-10:30)	미래자동차연구센터104강의실		45	
4	전공심화	ECL3003-10109	임베디드시스템	황순민	3	화(11:00-13:00),화(16:00-18:00)	미래자동차연구센터103강의실,CAD/CAE실습실(214)		30	
3	전공심화	INE3017-10111	생산공학	허건수	3	수(09:00-10:30),금(09:00-10:30)	미래자동차연구센터104강의실		35	
3	전공핵심	MAT2003-10112	선형대수	조기춘	3	수(14:30-16:00),금(14:30-16:00)	미래자동차연구센터104강의실		56	
3	전공핵심	AUE3034-10099	마이크로프로세서응용시스템	황순민	3	목(11:00-13:00),목(15:00-17:00)	미래자동차연구센터103강의실,CAD/CAE실습실(214)		27	
4	전공심화	AUE4023-10100	차량센서	조기춘	3	화(14:30-16:00),목(14:30-16:00)	미래자동차연구센터103강의실		44	
4	전공심화	AUE4024-10101	미래자동차공학종합설계1	조한신	1	시간미지정강좌	비지정()		17	
4	전공심화	AUE4029-10102	미래자동차공학연구실현장실습3	윤영두	1	시간미지정강좌	비지정()		3	
2	전공기초(필수)	MAT2017-11300	확률통계론	유지형	3	월(10:30-12:00),목(13:00-14:30)	미래자동차연구센터106강의실		64	
3	전공심화	AUE3032-10098	미래자동차공학연구실현장실습1	윤영두	1	시간미지정강좌	비지정()		0	
4	전공심화	AUE4031-10103	e-파워트레인	임명섭	3	월(11:00-13:00),목(11:00-13:00)	미래자동차연구센터103강의실,CAD/CAE실습실(214)		17	
4	전공심화	AUE4038-10105	xEV모터구동시스템	윤영두	3	월(16:00-17:30),수(14:30-16:00)	미래자동차연구센터103강의실		23	
3	전공핵심	DME3003-10106	시스템해석	한경석	3	월(14:30-16:00),화(10:30-12:00)	미래자동차연구센터104강의실		48	
1	전공기초(필수)	CHM1005-11286	일반화학및실험1	원영도	4	목(17:00-19:00),화(13:00-15:00)	제1공학관304강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)		41	공학인증구분
2	전공핵심	COE2052-11287	고체역학	이동진	3	화(13:00-14:30),목(09:00-10:30)	미래자동차연구센터106강의실		81	
2	전공기초(필수)	COE3051-11288	공업수학1	노우석	3	화(14:30-16:00),금(14:30-16:00)	제1공학관302강의실,제1공학관508강의실		65	공학인증구분
1	교양필수	CUL0202-11290	문화기술인간	남영	2	월(09:00-11:00)	제1공학관206강의실		15	공학인증구분
1	전공기초(필수)	CUL3011-11294	일반물리학및실험1	라오철	4	월(15:00-17:00),목(11:00-13:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)		54	공학인증구분
2	전공핵심	ELE2058-11295	전기회로	윤영두	3	월(13:00-15:00),수(09:00-11:00)	미래자동차연구센터106강의실		79	
1	전공기초(필수)	GEN2052-11296	미분적분학1	박영선	3	월(13:00-14:30),목(14:30-16:00)	제1공학관402강의실		44	공학인증구분
1	교양필수	GEN5029-11298	커리어개발Ⅰ:취.창업진로로드맵	조한신	1	월(17:30-18:30)	미래자동차연구센터103강의실		27	공학인증구분
2	전공핵심	INE3028-11299	CAD	민승재	3	화(09:00-11:00),수(15:00-17:00)	미래자동차연구센터103강의실,CAD/CAE실습실(214)		29	
2	전공핵심	MEE3012-11301	열역학	유지형	3	월(16:00-17:30),목(10:30-12:00)	미래자동차연구센터106강의실		74	
2	전공기초(필수)	COE3051-11304	공업수학1	이성열	3	화(14:30-16:00),금(14:30-16:00)	제1공학관508강의실,제1공학관303강의실		36	공학인증구분
2	전공기초(필수)	COE3051-11252	공업수학1	김재희	3	화(14:30-16:00),금(14:30-16:00)	제1공학관303강의실,제1공학관302강의실		31	공학인증구분
1	교양필수	CUL0203-11341	AI시대쓰기의힘	황인건	2	금(09:00-11:00)	제1공학관207강의실		43	공학인증구분
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		999	공학인증구분
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		151	공학인증구분
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		62	공학인증구분
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		46	공학인증구분
