학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공심화	ENE4071-10212	반도체공정	김형진	3	월(10:30-12:00),목(10:30-12:00)	제1공학관604강의실(녹화전용),신소재공학관218호멀티미디어실		31	
3	교양필수	GEN5026-10213	테크노경영학(스타트업종합설계)	김수진	3	목(13:00-14:30)	제1공학관405강의실,		50	공학인증구분
3	전공핵심	MAE3019-10214	전자소자재료1	최창환	3	월(09:00-10:30),화(13:00-14:30)	제2공학관510강의실(녹화전용)		39	
3	전공심화	MAE3025-10216	나노소재기기분석	이승용	3	금(13:00-14:30),금(14:30-16:00)	제2공학관302강의실		72	
3	전공심화	MAE3027-10218	신소재공학요소설계3(URIP)	장재일	2	수(18:00-20:00),금(18:00-20:00)	제1공학관206강의실		20	
1	전공기초(필수)	CHM1005-11386	일반화학및실험1	이경림	4	화(13:00-15:00),목(15:00-17:00)	제1공학관401강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)		70	공학인증구분
2	전공기초(필수)	COE3051-11387	공업수학1	노우석	3	화(10:30-12:00),금(10:30-12:00)	제1공학관302강의실,제1공학관508강의실		67	공학인증구분
1	전공기초(필수)	CUL3011-11389	일반물리학및실험1	조진호	4	금(11:00-13:00),월(17:00-19:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)		59	공학인증구분
1	전공기초(필수)	GEN2052-11392	미분적분학1	정예원	3	월(10:30-12:00),목(09:00-10:30)	제1공학관402강의실		73	공학인증구분
3	전공핵심	MAE3022-10215	재료의물리적해석1	김현우	3	화(14:30-16:00),수(14:30-16:00)	제2공학관510강의실(녹화전용)		47	
3	전공핵심	MAE3026-10217	고체이온공학	정용재	3	화(09:00-10:30),목(09:00-10:30)	제1공학관205강의실		56	
1	교양필수	GEN1031-11390	공학도를위한창의적컴퓨팅	조호성	3	월(13:00-15:00),수(11:00-13:00)	제2공학관205강의실,제2공학관정석현PC3,제2공학관정석현PC4		55	
2	교양필수	GEN1100-11391	공학도를위한창의적프로그래밍	박주열	2	목(09:00-10:00),목(10:00-11:00)	제2공학관401강의실		68	
1	교양필수	GEN5029-11393	커리어개발Ⅰ:취.창업진로로드맵	김형진	1	화(16:00-17:00)	제2공학관209강의실		16	공학인증구분
2	교양필수	GEN6032-11394	전문학술영어	Sung Il Park	3	월(16:00-17:30),목(14:30-16:00)	제2공학관305강의실		29	공학인증구분
2	전공핵심	MAE2001-11395	재료과학1	박원일	3	월(13:00-14:30),수(13:00-14:30)	신소재공학관318호세미나실,제1공학관302강의실		52	
2	전공기초(필수)	MAT3008-11396	수치해석	오누리	3	화(13:00-14:30),수(14:30-16:00)	제1공학관208강의실,제1공학관202강의실		78	
2	전공핵심	MMS2006-11397	재료열역학1	정용재	3	화(14:30-16:00),목(13:00-14:30)	제2공학관208강의실,제2공학관209강의실		47	
3	전공핵심	MAE3029-10219	재료의화학적해석	박진성	3	월(10:30-12:00),수(10:30-12:00)	제2공학관313강의실(녹화전용)		48	
4	전공심화	MAE4026-10221	나노입자공학	오누리	3	월(16:00-17:30),수(16:00-17:30)	제1공학관204강의실		45	
4	전공심화	MAE4060-10225	미래기술과신소재1	정용재	2	화(17:00-19:00)	제2공학관302강의실		119	
3	전공핵심	MAE4014-10220	전기화학재료	이승용	3	화(10:30-12:00),목(10:30-12:00)	제2공학관311강의실		49	
4	전공핵심	MAE4036-10224	재료상변태	한정호	3	화(13:00-14:30),목(16:00-17:30)	제2공학관210강의실,제2공학관204강의실		41	
4	전공심화	MAE4063-10226	첨단구조재료의개발	장재일	3	월(09:00-10:30),수(13:00-14:30)	제1공학관407강의실,제1공학관403강의실		17	
4	전공심화	MAE4064-10227	인공지능뉴로컴퓨팅	정두석	3	화(14:30-16:00),목(14:30-16:00)	제1공학관405강의실,제1공학관409강의실		11	
3	전공핵심	MGE3003-10228	금속재료	정현도	3	월(14:30-16:00),수(13:00-14:30)	제1공학관408강의실,제2공학관501강의실		36	
4	전공심화	MSE4003-10229	신소재공학종합설계1(URIP)	박진성	3	토(13:00-16:00)	비지정()		10	
2	전공기초(필수)	COE3051-12652	공업수학1	이성열	3	화(10:30-12:00),금(10:30-12:00)	제1공학관303강의실		48	공학인증구분
1	교양필수	GEN1031-12655	공학도를위한창의적컴퓨팅	조호성	3	월(15:00-17:00),금(13:00-15:00)	제2공학관205강의실,제2공학관정석현PC2		38	
1	전공기초(필수)	CUL3011-12561	일반물리학및실험1	윤승언	4	금(11:00-13:00),월(17:00-19:00)	제1공학관209강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)		53	공학인증구분
