학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
3	전공핵심	CHE3009-10059	반응공학	도시현	3	화(14:30-16:00),목(14:30-16:00)	퓨전테크센터910호		12	공학인증구분
3	전공심화	CHM3007-10060	고분자화학	장재영	3	월(10:30-12:00),수(10:30-12:00)	퓨전테크놀러지1007강의실		41	
3	전공심화	CHM4001-10061	기기분석	김영훈	3	화(10:30-12:00),목(10:30-12:00)	퓨전테크놀러지1007강의실		44	
3	전공핵심	EGY3002-10065	에너지공학실험1	송태섭	2	금(13:00-17:00)	비지정()		28	
3	전공핵심	EGY3005-10066	에너지열역학	이윤정	3	월(13:00-14:30),수(13:00-14:30)	퓨전테크센터910호		28	
3	전공핵심	EGY3006-10067	전달현상론1	장재영	3	월(14:30-16:00),수(14:30-16:00)	퓨전테크놀러지1008강의실		23	
3	전공심화	EGY4014-10070	에너지나노과학	박호범	3	화(13:00-14:30),목(13:00-14:30)	퓨전테크놀러지911강의실		34	
3	전공심화	CHM4063-10062	무기소재화학	박호범	3	화(16:00-17:30),목(16:00-17:30)	퓨전테크놀러지911강의실		13	
4	전공핵심	EGY4005-10068	에너지공학종합설계1	박호범	3	시간미지정강좌	비지정()		16	
4	전공심화	EGY4023-10072	이차전지실습1	황장연	3	월(16:00-19:00),수(16:00-19:00)	퓨전테크놀러지1007강의실		20	
4	전공심화	PBL4025-10073	에너지공학캡스톤PBL(반도체:CMP공정)	도시현	3	수(11:00-13:00),금(11:00-13:00)	퓨전테크센터910호		12	
2	전공기초(필수)	COE3051-11288	공업수학1	노우석	3	화(14:30-16:00),금(14:30-16:00)	제1공학관302강의실,제1공학관508강의실		65	공학인증구분
2	전공기초(필수)	COE3051-11304	공업수학1	이성열	3	화(14:30-16:00),금(14:30-16:00)	제1공학관508강의실,제1공학관303강의실		36	공학인증구분
1	전공기초(필수)	CHM1005-11251	일반화학및실험1	탁정애	4	금(11:00-13:00),화(15:00-17:00)	제1공학관601강의실,,자연과학관일반화학실험실3(121),자연과학관일반화학실험실4(122)		36	공학인증구분
2	전공기초(필수)	COE3051-11252	공업수학1	김재희	3	화(14:30-16:00),금(14:30-16:00)	제1공학관303강의실,제1공학관302강의실		31	공학인증구분
2	전공핵심	CHE2001-11250	공업물리화학1	선양국	3	월(10:30-12:00),화(10:30-12:00)	퓨전테크놀러지911강의실		42	
1	전공기초(필수)	CUL3011-11254	일반물리학및실험1	김재용	4	월(11:00-13:00),목(15:00-17:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)		35	공학인증구분
2	전공심화	EGY2001-11255	공학기초양론	송태섭	3	수(13:00-14:30),월(16:00-17:30)	퓨전테크놀러지911강의실		30	
1	교양필수	GEN1031-11256	공학도를위한창의적컴퓨팅	원정임	3	목(11:00-13:00),금(15:00-17:00)	제2공학관204강의실,제2공학관401강의실		34	
2	교양필수	GEN1100-11257	공학도를위한창의적프로그래밍	성기혁	2	수(09:00-10:00),수(10:00-11:00)	제2공학관401강의실		65	
1	교양필수	GEN5029-11259	커리어개발Ⅰ:취.창업진로로드맵	송태섭	1	토(17:00-18:00)	비지정()		9	공학인증구분
2	전공핵심	ICH2001-11261	공업유기화학1	김영훈	3	화(13:00-14:30),목(13:00-14:30)	퓨전테크놀러지1007강의실		43	
2	전공핵심	MAE2001-11262	재료과학1	백운규	3	월(09:00-10:30),수(14:30-16:00)	퓨전테크놀러지911강의실		48	
2	전공기초(필수)	MAT3008-11263	수치해석	도시현	3	월(14:30-16:00),수(16:00-17:30)	퓨전테크놀러지911강의실		41	
4	전공핵심	EGY4005-12895	에너지공학종합설계1	송태섭	3	시간미지정강좌	비지정()		12	
2	교양필수	GEN6032-12440	전문학술영어	Mark A. Rublik	3	월(13:00-14:30),목(16:00-17:30)	제2공학관309강의실		9	공학인증구분
1	교양필수	GEN5029-12891	커리어개발Ⅰ:취.창업진로로드맵	박호범	1	토(17:00-18:00)	비지정()		18	공학인증구분
1	교양필수	GEN5029-12892	커리어개발Ⅰ:취.창업진로로드맵	김영훈	1	토(17:00-18:00)	비지정()		5	공학인증구분
4	전공심화	PBL4025-12893	에너지공학캡스톤PBL(물-에너지넥서스)	도시현	3	화(09:00-11:00),목(09:00-11:00)	퓨전테크센터910호		8	
4	전공심화	PBL4025-12894	에너지공학캡스톤PBL(에너지와자원순환)	도시현	3	화(11:00-13:00),목(11:00-13:00)	퓨전테크센터910호		9	
1	전공기초(필수)	GEN2052-12586	미분적분학1	변양현	3	화(10:30-12:00),금(13:00-14:30)	제1공학관403강의실		49	공학인증구분
1	전공기초(필수)	GEN2052-12587	미분적분학1	이현미	3	화(10:30-12:00),금(13:00-14:30)	자연과학관202강의실,자연과학관227강의실		55	공학인증구분
1	전공기초(필수)	GEN2052-12028	미분적분학1	황신철	3	화(10:30-12:00),금(13:00-14:30)	제1공학관402강의실		68	공학인증구분
2	교양필수	GEN6032-12046	전문학술영어	Ed Topliffe	3	월(13:00-14:30),목(16:00-17:30)	제2공학관307강의실		20	공학인증구분
