학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공심화	ICH4024-10049	전자재료디바이스	박희준	3	화(10:30-12:00),목(10:30-12:00)	신소재공학관318호세미나실		13	
3	전공심화	ONE1002-10050	나노공정공학	한태희	3	월(10:30-12:00),수(10:30-12:00)	신소재공학관218호멀티미디어실		20	
4	전공심화	ONE4017-10055	유기나노공학세미나1	한태희	2	화(16:00-18:00)	신소재공학관702호/703호		17	
4	전공심화	ONE4020-10056	유기나노공학실험1	박희준	2	목(15:00-19:00)	신소재공학관318호세미나실		15	
3	전공핵심	CHM3007-10045	고분자화학	정인환	3	월(14:30-16:00),수(14:30-16:00)	신소재공학관218호멀티미디어실		39	공학인증구분
3	전공핵심	CHM4013-10046	고분자물성	박희준	3	화(13:00-14:30),목(13:00-14:30)	신소재공학관702호/703호		41	
3	전공심화	COE1010-10047	실용공학연구1	박희준	1	토(14:00-16:00)	비지정()		3	
3	전공핵심	CTE3013-10048	표면및계면화학	안희준	3	월(13:00-14:30),수(13:00-14:30)	신소재공학관218호멀티미디어실		39	
4	전공심화	ONE4003-10052	유기나노공학종합설계1	안희준	3	시간미지정강좌	비지정()		10	
4	전공핵심	ONE4007-10053	고분자가공학	위정재	3	월(16:00-18:00),수(16:00-18:00)	신소재공학관318호세미나실		16	
3	전공심화	TXE3016-10058	유기광학분자설계	정재윤	3	화(16:00-18:00),수(16:00-18:00)	신소재공학관218호멀티미디어실		14	
1	전공기초(필수)	CHM1005-11235	일반화학및실험1	탁정애	4	화(13:00-15:00),목(13:00-15:00)	제1공학관601강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)		50	공학인증구분
2	전공기초(필수)	COE3051-11236	공업수학1	노우석	3	월(13:00-14:30),목(13:00-14:30)	제1공학관508강의실,제1공학관302강의실		78	공학인증구분
1	전공기초(필수)	CUL3011-11389	일반물리학및실험1	조진호	4	금(11:00-13:00),월(17:00-19:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)		59	공학인증구분
1	전공기초(필수)	GEN2052-11392	미분적분학1	정예원	3	월(10:30-12:00),목(09:00-10:30)	제1공학관402강의실		73	공학인증구분
2	전공핵심	CHE2001-11234	공업물리화학1	정재윤	3	월(10:30-12:00),수(10:30-12:00)	신소재공학관702호/703호		62	
1	교양필수	CUL0201-11238	상상과학성찰	김성희	2	월(13:00-15:00)	제1공학관103강의실		39	공학인증구분
1	교양필수	CUL0203-11239	AI시대쓰기의힘	이윤정	2	화(11:00-13:00)	제1공학관207강의실		35	공학인증구분
1	교양필수	GEN5029-11245	커리어개발Ⅰ:취.창업진로로드맵	박희준	1	화(15:00-16:00)	신소재공학관218호멀티미디어실		33	공학인증구분
2	전공핵심	ICH2001-11247	공업유기화학1	정인환	3	화(13:00-14:30),수(13:00-14:30)	신소재공학관707호/708호		63	
2	전공기초(필수)	ONE1001-11248	유기나노공학개론	위정재	3	월(14:30-16:00),수(14:30-16:00)	신소재공학관318호세미나실		19	
2	전공기초(필수)	COE3051-11369	공업수학1	김재희	3	월(13:00-14:30),목(13:00-14:30)	제1공학관302강의실,제1공학관508강의실		45	공학인증구분
2	교양필수	GEN6032-11394	전문학술영어	Sung Il Park	3	월(16:00-17:30),목(14:30-16:00)	제2공학관305강의실		29	공학인증구분
1	교양필수	GEN5029-12878	커리어개발Ⅰ:취.창업진로로드맵	한태희	1	화(15:00-16:00)	신소재공학관318호세미나실		19	공학인증구분
4	전공심화	ONE4003-12885	유기나노공학종합설계1	박희준	3	시간미지정강좌	비지정()		8	
1	전공기초(필수)	CUL3011-12561	일반물리학및실험1	윤승언	4	금(11:00-13:00),월(17:00-19:00)	제1공학관209강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)		53	공학인증구분
1	전공기초(필수)	CUL3011-12562	일반물리학및실험1	남창우	4	금(11:00-13:00),월(17:00-19:00)	제1공학관401강의실,,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실5(217)		71	공학인증구분
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		999	공학인증구분
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		151	공학인증구분
