학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공심화	APA4055-10188	인공지능개론	홍제형	3	화(10:30-12:00),목(10:30-12:00)	제2공학관해동AILab_402		56	
3	전공심화	ELE3021-10193	운영체제	David Phillip Wagner	4	월(16:00-17:30),수(16:00-17:30),월(17:30-19:30)	제2공학관207강의실,제2공학관207강의실,제2공학관해동AILab_402		41	
3	전공심화	ELE3067-10194	집적회로소자	권대웅	3	수(16:00-17:30),금(10:30-12:00)	제2공학관208강의실		79	
3	전공핵심	ELE3074-10195	전자회로1	박상규	4	화(10:30-12:00),목(10:30-12:00),수(18:00-20:00)	제1공학관203강의실,제1공학관203강의실,공업센터응용설계실(611)		41	
3	전공핵심	ELE3076-10196	디지털신호처리1	김정희	4	화(13:00-14:30),화(14:30-16:00),금(13:00-15:00)	제1공학관203강의실,제1공학관203강의실,제2공학관해동AILab_402		63	
3	전공심화	ELE3079-10197	제어시스템개론	오윤선	3	금(13:00-14:30),금(14:30-16:00)	제2공학관206강의실		61	
2	전공기초(필수)	COE3051-11236	공업수학1	노우석	3	월(13:00-14:30),목(13:00-14:30)	제1공학관508강의실,제1공학관302강의실		78	공학인증구분
4	전공심화	ELE4100-10201	무선네트워크	문희찬	3	화(09:00-10:30),목(09:00-10:30)	제2공학관208강의실		21	
4	전공심화	ELE4102-10202	전파시스템	조제훈	3	월(16:00-17:30),월(17:30-19:00)	제2공학관210강의실		33	
4	전공심화	ELE4103-10203	인공지능플랫폼기초및실습	최정욱	3	금(13:00-15:00),금(15:00-17:00)	공업센터Workstation실(616)		27	
4	전공심화	ELE5000-10204	융합전자공학종합설계1	윤기중	1	시간미지정강좌	비지정()		23	
3	전공핵심	ENE1004-10205	컴퓨터구조	정기석	4	월(09:00-10:30),월(10:30-12:00),수(09:00-11:00)	제1공학관202강의실,제1공학관202강의실,공업센터Workstation실(616)		52	
3	교양필수	GEN5026-10207	테크노경영학(스타트업종합설계)	안광일	3	금(09:00-10:30)	제1공학관402강의실,		35	공학인증구분
3	전공심화	ITE3013-10208	랜덤프로세스	김선우	3	화(16:00-17:30),목(16:00-17:30)	제2공학관208강의실		49	
2	전공핵심	CSE2010-11370	자료구조론	David Phillip Wagner	3	월(09:00-10:30),금(09:00-10:30)	제2공학관301강의실		131	
2	전공핵심	ECC1004-11375	회로이론1	정준영	4	월(16:00-17:30),월(17:30-19:00),화(18:00-20:00)	제1공학관202강의실,제1공학관202강의실,퓨전테크놀러지융합전자공학부실험실2(203)		71	
1	전공기초(필수)	ELE1010-11376	일반전자물리1	박완준	3	월(10:30-12:00),수(10:30-12:00)	제1공학관208강의실		75	
2	전공핵심	ELE4077-11377	고체전자물리개론	이승백	3	화(14:30-16:00),목(14:30-16:00)	제1공학관208강의실		93	
2	전공심화	PHY2008-11383	현대물리학	김재훈	3	수(16:00-17:30),목(16:00-17:30)	제2공학관210강의실		18	
2	전공핵심	PHY2013-11384	전자기학	김형동	3	월(14:30-16:00),수(14:30-16:00)	제2공학관207강의실		71	
4	전공심화	ECE4014-10189	정보이론입문	신동준	3	화(14:30-16:00),금(10:30-12:00)	제1공학관202강의실		25	
4	전공심화	ECE4058-10190	디지털통신	윤동원	4	월(13:00-14:30),월(14:30-16:00),화(16:00-18:00)	제2공학관해동AILab_402		18	
4	전공심화	EIS1015-10192	임베디드시스템설계	이채은	4	월(10:30-12:00),수(10:30-12:00),수(15:00-17:00)	제2공학관208강의실,제2공학관208강의실,공업센터Workstation실(616)		34	
4	전공심화	ELE3080-10198	디스플레이설계및공정	김재훈	4	수(14:30-16:00),금(14:30-16:00),금(16:00-18:00)	제2공학관210강의실,제2공학관210강의실,퓨전테크놀러지융합전자공학부실험실2(203)		22	
4	전공심화	ENE2006-10206	반도체회로공정	이승백	3	화(13:00-14:30),목(13:00-14:30)	제1공학관408강의실		42	
4	전공심화	ITE4003-10209	SOC설계	이채은	4	월(13:00-14:30),월(14:30-16:00),수(18:00-20:00)	제1공학관203강의실,제1공학관203강의실,공업센터Workstation실(616)		54	
2	전공기초(필수)	COE3051-11369	공업수학1	김재희	3	월(13:00-14:30),목(13:00-14:30)	제1공학관302강의실,제1공학관508강의실		45	공학인증구분
1	교양필수	CUL0201-11372	상상과학성찰	최은호	2	화(15:00-17:00)	제1공학관406강의실		51	공학인증구분
1	교양필수	CUL0203-11373	AI시대쓰기의힘	윤수미	2	금(11:00-13:00)	제1공학관206강의실		44	공학인증구분
1	전공기초(필수)	GEN0072-11378	일반화학및실험	이경림	3	월(13:00-15:00),금(13:00-15:00)	제1공학관509강의실,자연과학관일반화학실험실1(114),자연과학관일반화학실험실2(116)		59	공학인증구분
1	전공기초(필수)	GEN2052-11379	미분적분학1	오수진	3	월(16:00-17:30),목(13:00-14:30)	제1공학관402강의실		63	공학인증구분
1	교양필수	GEN5029-11381	커리어개발Ⅰ:취.창업진로로드맵	권대웅	1	수(17:30-18:30)	제2공학관204강의실		17	공학인증구분
