학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
3	전공기초(필수)	MAT3008-10131	수치해석	이승원	3	화(10:30-12:00),목(10:30-12:00)	제2공학관313강의실(녹화전용)		38	공학인증구분
4	전공심화	MME4068-10137	순환자원공학	김현중	3	화(16:00-17:30),목(16:00-17:30)	제1공학관508강의실		22	
3	교양필수	GEN5026-10144	테크노경영학(스타트업종합설계)	안광일	3	월(14:30-16:00)	제1공학관404강의실,		42	공학인증구분
4	전공심화	MME3016-10132	자원경제성평가	김진수	3	월(16:00-17:30),수(13:00-14:30)	제1공학관303강의실,제1공학관204강의실		8	
3	전공핵심	MME3030-10133	석유공학실험및설계	이근상	2	목(13:00-17:00)	제1공학관407강의실		15	
3	전공핵심	MME3033-10134	자원지질실습	권일한	2	화(13:00-17:00)	제2공학관313강의실(녹화전용)		11	
3	전공핵심	MME3063-10135	시추공학	이근상	3	월(10:30-12:00),수(10:30-12:00)	제1공학관607강의실(공학대학원전용)		16	
4	전공심화	MME4073-10139	폐기물처리	송호철	3	월(10:30-12:00),수(10:30-12:00)	제1공학관407강의실,제1공학관207강의실		7	
3	전공핵심	MPE2005-10140	자원처리공학	김현중	3	월(13:00-14:30),수(13:00-14:30)	제2공학관311강의실		26	
4	전공심화	MPE3003-10141	저류층지구역학기초	왕지훈	3	화(13:00-14:30),화(14:30-16:00)	제1공학관407강의실		9	
1	전공기초(필수)	CHM1005-11319	일반화학및실험1	탁정애	4	금(15:00-17:00),시간미지정강좌,화(11:00-13:00)	제1공학관501강의실,,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)		40	공학인증구분
2	전공기초(필수)	COE3051-11320	공업수학1	신교일	3	월(10:30-12:00),목(10:30-12:00)	제1공학관508강의실		29	공학인증구분
1	교양필수	CUL0203-11322	AI시대쓰기의힘	허진혁	2	금(09:00-11:00)	제1공학관206강의실		35	공학인증구분
1	교양필수	GEN1031-11326	공학도를위한창의적컴퓨팅	원정임	3	월(11:00-13:00),금(11:00-13:00)	제2공학관204강의실,제2공학관정석현PC2		35	
1	교양필수	GEN5029-11329	커리어개발Ⅰ:취.창업진로로드맵	송호철	1	시간미지정강좌	비지정()		15	공학인증구분
2	전공핵심	MME2019-11332	에너지자원지질	이근상	3	월(14:30-16:00),수(14:30-16:00)	제1공학관607강의실(공학대학원전용),제1공학관507강의실		23	
2	전공핵심	MME2053-11333	자원경제원론	김진수	3	화(15:00-16:30),화(16:30-17:00)	제1공학관607강의실(공학대학원전용)		26	
2	전공기초(필수)	COE3051-11226	공업수학1	김재희	3	월(10:30-12:00),목(10:30-12:00)	제1공학관302강의실		47	공학인증구분
2	전공핵심	MME4003-11334	암석역학	이승원	3	화(13:00-14:30),목(13:00-14:30)	제1공학관607강의실(공학대학원전용)		20	
2	전공핵심	MPE2008-11335	토양환경	송호철	3	월(16:00-17:30),수(16:00-17:30)	제1공학관206강의실,제1공학관406강의실		22	
2	전공기초(필수)	COE3051-11186	공업수학1	노우석	3	월(10:30-12:00),목(10:30-12:00)	제1공학관303강의실		52	공학인증구분
1	전공기초(필수)	CUL3011-11193	일반물리학및실험1	이원욱	4	수(13:00-15:00),목(09:00-11:00)	제1공학관304강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)		70	공학인증구분
2	교양필수	GEN6032-11198	전문학술영어	Ian Gareth Robert Jones	3	화(10:30-12:00),금(10:30-12:00)	제2공학관305강의실		26	공학인증구분
2	교양필수	GEN1100-11257	공학도를위한창의적프로그래밍	성기혁	2	수(09:00-10:00),수(10:00-11:00)	제2공학관401강의실		65	
1	전공기초(필수)	GEN2052-11195	미분적분학1	연미정	3	화(14:30-16:00),목(16:00-17:30)	제1공학관402강의실		45	공학인증구분
1	전공기초(필수)	CUL3011-12554	일반물리학및실험1	김호영	4	수(13:00-15:00),목(09:00-11:00)	제1공학관305강의실,,자연과학관일반물리학실험실5(217),자연과학관일반물리학실험실6(218)		37	공학인증구분
2	교양필수	GEN6032-12392	전문학술영어	Esther du Plessis	3	화(10:30-12:00),금(10:30-12:00)	제2공학관306강의실		22	공학인증구분
1	전공기초(필수)	GEN2052-12574	미분적분학1	오수진	3	화(14:30-16:00),목(16:00-17:30)	제1공학관403강의실		58	공학인증구분
3	교양필수	GEN5026-12595	테크노경영학(스타트업종합설계)	이재석	3	월(14:30-16:00)	제1공학관405강의실,		39	공학인증구분
1	교양필수	GEN5029-12877	커리어개발Ⅰ:취.창업진로로드맵	권일한	1	시간미지정강좌	비지정()		26	공학인증구분
