학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공핵심	DME3003-10014	시스템해석	이형철	3	목(16:00-17:30),금(16:00-17:30)	제2공학관501강의실,제2공학관302강의실
3	전공핵심	ECC3003-10015	전력공학	장문석	3	월(15:00-16:30),월(16:30-18:00)	제1공학관401강의실
4	전공심화	ECL4007-10016	신재생분산전원	장문석	3	월(09:00-10:30),월(10:30-12:00)	제2공학관206강의실
4	전공심화	ECL4012-10017	전기공학종합설계1	이성민	1	시간미지정강좌	비지정()
4	전공심화	ECL4015-10018	전력변환응용	김래영	3	월(13:00-14:30),월(14:30-16:00)	공업센터전기공학IC-PBL강의실(601)
4	전공심화	ECL4018-10019	반도체플라즈마	정진욱	3	수(13:00-14:30),수(14:30-16:00)	제1공학관205강의실
4	전공심화	ECL4021-10020	전기공학연구실현장실습1	김래영	1	시간미지정강좌	비지정()
4	전공심화	ECL4022-10021	최적화개론	문준	3	월(16:00-17:30),화(13:00-14:30)	제2공학관502강의실
4	전공심화	ECR4004-10022	현대제어이론	이형철	3	목(17:30-19:00),금(17:30-19:00)	제2공학관302강의실
3	전공심화/전공핵심	FET3001-10025	차세대전력전자및전기기기	김래영	3	월(09:00-10:30),월(10:30-12:00)	제2공학관502강의실
3	전공심화/전공핵심	FET3002-10026	AI기반에너지관리	장문석	3	월(12:00-13:30),월(13:30-15:00)	IT.BT관국제회의실(911)
1	전공기초(필수)	GEN0072-11210	일반화학및실험	윤홍석	3	월(17:00-19:00),수(17:00-19:00)	제1공학관304강의실,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)
3	전공심화	ELE4074-10024	전기물성2	이성민	3	화(14:30-16:00),수(14:30-16:00)	제1공학관604강의실(녹화전용)
4	전공심화	FET4003-10027	플라즈마에너지공학	김주호	3	화(10:30-12:00),목(10:30-12:00)	제1공학관604강의실(녹화전용)
3	전공기초(필수)/전공핵심	MAT2003-10028	선형대수	IGBAFE ORIKUMHI	3	수(10:30-12:00),목(14:30-16:00)	제1공학관508강의실,제1공학관408강의실
3	전공기초(필수)	MAT3008-10029	수치해석	강창묵	3	화(10:30-12:00),수(16:00-17:30)	제2공학관502강의실
1	전공기초(필수)	CUL3011-11206	일반물리학및실험1	하은자	4	월(13:00-15:00),수(11:00-13:00)	제1공학관304강의실,,자연과학관일반물리학실험실1(209),자연과학관일반물리학실험실2(210)
2	전공핵심	ELE2001-11207	회로이론	김성열	3	화(10:30-12:00),수(10:30-12:00)	제1공학관409강의실
2	전공핵심	ELE2051-11208	전기기초실험1	김성열	1	수(12:00-14:00)	공업센터기초전기실험실1(603)
2	전공핵심	ENE4029-11209	반도체소자	이성민	3	월(16:00-17:30),목(13:00-14:30)	제1공학관203강의실
2	교양필수	GEN1100-11211	공학도를위한창의적프로그래밍	홍석준	2	금(11:00-12:00),금(12:00-13:00)	제2공학관401강의실
1	교양필수	GEN5029-11213	커리어개발Ⅰ:취.창업진로로드맵	문준	1	화(17:00-18:00)	제2공학관203강의실
2	교양필수	GEN6032-11214	전문학술영어	Younghwa Choi-Hong	3	화(16:00-17:30),금(14:30-16:00)	제2공학관305강의실
2	전공핵심	PHY2013-11217	전자기학	Ming-Chieh Lin	3	월(13:00-14:30),화(14:30-16:00)	제2공학관502강의실
4	전공심화	BIO4065-11018	바이오메디컬공학특강1	유형석	2	월(17:00-19:00)	IT.BT관국제회의실(911)
3	전공핵심	BNG3014-11021	생체신호계측및실습	이병훈	3	화(15:00-17:00),수(15:00-17:00)	IT.BT관208강의실,산학기술관생체전자실습실(404)
3	전공핵심	BNG3018-11022	생체디지털공학	김안모	3	수(09:00-11:00),수(11:00-13:00)	IT.BT관208강의실,산학기술관생체전자실습실(404),산학기술관생체전자실습실(404)
3	전공심화	BNG3020-11023	생체공학연구실현장실습1	김선정	1	시간미지정강좌	비지정()
3	전공심화	BNG4013-11026	의학영상기기	오석훈	3	목(14:30-16:00),목(16:00-17:30)	IT.BT관201강의실
4	전공핵심	BNG4019-11027	바이오메디컬종합설계1	김성환	3	화(17:00-20:00)	IT.BT관208강의실
2	전공기초(필수)	COE3051-11355	공업수학1	신교일	3	월(14:30-16:00),목(14:30-16:00)	제1공학관508강의실
4	전공심화	BNG4023-11029	생체아날로그회로	이병훈	3	화(13:00-14:30),목(13:00-14:30)	산학기술관생체정보실습실(608)
2	전공기초(필수)	COE3051-11387	공업수학1	노우석	3	화(10:30-12:00),금(10:30-12:00)	제1공학관302강의실,제1공학관508강의실
1	전공기초(필수)	GEN2052-11212	미분적분학1	이선경	3	수(14:30-16:00),금(10:30-12:00)	제1공학관402강의실
2	전공핵심	MAT2017-11215	확률통계론	IGBAFE ORIKUMHI	3	수(16:00-17:30),목(16:00-17:30)	제1공학관601강의실
3	전공심화	BIO3084-11016	생체모방공학	최창순	3	월(13:00-14:30),수(13:00-14:30)	IT.BT관208강의실
4	전공심화	BIO4063-11017	바이오센서	최성용	3	수(16:00-17:30),목(16:00-17:30)	산학기술관생체정보실습실(608)
4	전공심화	BIO4066-11019	나노바이오공학	김선정	3	월(13:00-14:30),월(14:30-16:00)	IT.BT관201강의실
3	전공핵심	BNG2005-11020	생체구조및기능2	김인영	3	월(15:00-16:30),월(16:30-18:00)	제1공학관603강의실
4	전공심화	BNG4021-11028	AI생체정보패턴인식	이종민	3	화(10:30-12:00),목(10:30-12:00)	IT.BT관208강의실
3	전공기초(필수)	MAT2017-11030	확률통계론	이종민	3	화(13:00-14:30),목(13:00-14:30)	IT.BT관208강의실
2	전공기초(필수)	COE3051-11201	공업수학1	김재희	3	월(14:30-16:00),목(14:30-16:00)	제1공학관302강의실
1	전공핵심	COE2022-11200	공학입문설계	전상환	3	월(11:00-13:00),화(15:00-17:00)	제2공학관공학입문설계실
2	전공핵심	ELE2001-12799	회로이론	이성민	3	화(10:30-12:00),수(10:30-12:00)	제1공학관601강의실
3	전공심화	BNG3020-12803	생체공학연구실현장실습1	최성용	1	시간미지정강좌	비지정()
3	전공심화	BNG3020-12804	생체공학연구실현장실습1	김안모	1	시간미지정강좌	비지정()
2	전공기초(필수)	COE3051-12652	공업수학1	이성열	3	화(10:30-12:00),금(10:30-12:00)	제1공학관303강의실
3	전공심화	BNG3020-12809	생체공학연구실현장실습1	장동표	1	시간미지정강좌	비지정()
1	교양필수	GEN5029-12810	커리어개발Ⅰ:취.창업진로로드맵	최창순	1	수(16:00-17:00)	IT.BT관208강의실
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12548	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12549	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
4	전공심화	BNG3022-12818	생체공학연구실현장실습3	최창순	1	시간미지정강좌	비지정()
1	전공기초(필수)	CUL3011-12555	일반물리학및실험1	김준하	4	월(13:00-15:00),수(11:00-13:00)	제1공학관305강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)
1	전공기초(필수)	CUL3011-12556	일반물리학및실험1	이인숙	4	월(13:00-15:00),수(11:00-13:00)	자연과학관IC-PBL전산강의실(222),,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실5(217)
2	전공핵심	ELE2051-12798	전기기초실험1	김성열	1	수(14:00-16:00)	공업센터기초전기실험실1(603)
4	전공심화	BNG3022-12811	생체공학연구실현장실습3	이종민	1	시간미지정강좌	비지정()
4	전공심화	BNG3022-12815	생체공학연구실현장실습3	김안모	1	시간미지정강좌	비지정()
4	전공심화	BNG3022-12819	생체공학연구실현장실습3	김인영	1	시간미지정강좌	비지정()
4	전공심화	BNG3022-12820	생체공학연구실현장실습3	장동표	1	시간미지정강좌	비지정()
2	교양필수	GEN6032-12394	전문학술영어	Caroline Sommerville Ward	3	화(16:00-17:30),금(14:30-16:00)	제2공학관306강의실
2	교양필수	GEN6032-12395	전문학술영어	Luke Oliver Allum	3	화(16:00-17:30),금(14:30-16:00)	제2공학관307강의실
2	교양필수	GEN6032-12396	전문학술영어	Sung Il Park	3	화(16:00-17:30),금(14:30-16:00)	제2공학관308강의실
2	교양필수	GEN6032-12397	전문학술영어	Joshua Huewe	3	화(16:00-17:30),금(14:30-16:00)	제2공학관309강의실
2	전공핵심	BIO2079-12240	바이오분자공학	최성용	3	수(13:00-14:30),목(13:00-14:30)	IT.BT관201강의실
1	전공핵심	BNG1001-12241	바이오메디컬공학개론	유형석	3	금(15:00-16:30),금(16:30-18:00)	IT.BT관208강의실
2	전공핵심	BNG2001-12242	생체신호및시스템	손장재	3	화(14:30-16:00),목(10:30-12:00)	IT.BT관508강의실,IT.BT관202강의실
1	전공핵심	COE2022-12245	공학입문설계	전상환	3	월(15:00-17:00),화(13:00-15:00)	제2공학관공학입문설계실
2	전공기초(필수)	COE3051-12246	공업수학1	김재희	3	화(10:30-12:00),금(10:30-12:00)	제1공학관204강의실,제1공학관208강의실
1	교양필수	CUL0203-12248	AI시대쓰기의힘	장예영	2	금(13:00-15:00)	제2공학관209강의실
1	전공기초(필수)	GEN2052-12252	미분적분학1	변양현	3	수(14:30-16:00),금(10:30-12:00)	제1공학관404강의실
1	교양필수	GEN5029-12253	커리어개발Ⅰ:취.창업진로로드맵	유형석	1	수(16:00-17:00)	IT.BT관201강의실
1	전공기초(필수)	GEN0072-12567	일반화학및실험	이경림	3	월(17:00-19:00),수(17:00-19:00)	제1공학관305강의실,자연과학관일반화학실험실3(121),자연과학관일반화학실험실4(122)
2	전공핵심	BNG2007-12243	바이오메디컬프로그래밍	김성환	3	목(15:00-17:00),월(17:00-19:00)	IT.BT관208강의실,제2공학관정석현PC2,제2공학관정석현PC2
2	전공핵심	BNG2008-12244	바이오메디컬회로이론	장동표	3	수(11:00-13:00),월(09:00-11:00)	IT.BT관208강의실,산학기술관생체전자실습실(404)
2	교양필수	CUL1138-12006	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
1	전공기초(필수)	GEN2052-12575	미분적분학1	박춘길	3	수(14:30-16:00),금(10:30-12:00)	제1공학관403강의실
1	교양필수	CUL0203-12476	AI시대쓰기의힘	조소명	2	금(13:00-15:00)	제1공학관207강의실
1	교양필수	CUL0203-12477	AI시대쓰기의힘	윤수미	2	금(13:00-15:00)	제1공학관406강의실
2	전공기초(필수)	COE3051-12036	공업수학1	이성열	3	월(14:30-16:00),목(14:30-16:00)	제1공학관303강의실
3	전공심화	BNG3026-12551	생체의역학및전자기적이해	김성환	3	화(10:30-12:00),목(10:30-12:00)	산학기술관생체정보실습실(608)
2	전공기초(필수)	COE3051-12022	공업수학1	김주형	3	화(10:30-12:00),금(10:30-12:00)	제1공학관508강의실,제1공학관302강의실
1	교양필수	GEN5029-12797	커리어개발Ⅰ:취.창업진로로드맵	강창묵	1	화(17:00-18:00)	제2공학관209강의실
1	교양필수	GEN5029-12796	커리어개발Ⅰ:취.창업진로로드맵	김성열	1	수(16:00-17:00)	제2공학관204강의실
