학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
4	전공심화	BUS4041-10480	창업론	이욱	3	화(13:00-14:30),수(10:30-12:00)	IT.BT관202강의실,IT.BT관203강의실
3	전공심화	ENE4014-10481	프로그래밍언어론	KUTZNER ARNE HOLGER	3	화(10:30-12:00),목(10:30-12:00)	IT.BT관203강의실
3	전공핵심	ITE3031-10482	시스템소프트웨어론	오현옥	3	월(09:00-10:30),화(09:00-10:30)	IT.BT관203강의실,IT.BT관202강의실
3	전공핵심	ITE3035-10484	ERP시스템	김은찬	3	금(15:00-16:30),금(16:30-18:00)	IT.BT관202강의실
3	전공심화	ITE3050-10485	통신망이론	안종창	3	월(10:30-12:00),수(09:00-10:30)	IT.BT관202강의실,IT.BT관203강의실
4	전공심화	ITE4023-10486	정보보호	원영준	3	금(09:00-10:30),금(10:30-12:00)	IT.BT관203강의실
4	전공심화	ITE4031-10487	전자상거래이론	안종창	3	월(13:00-14:30),월(14:30-16:00)	IT.BT관203강의실
4	전공심화	ITE4084-10488	정보시스템학종합설계1	이욱	1	시간미지정강좌	비지정()
3	전공핵심	ITE4086-10489	비즈니스인텔리전스와인공지능의실재	김은찬	3	금(09:00-10:30),금(10:30-12:00)	IT.BT관202강의실
1	교양필수	GEN5029-12682	커리어개발Ⅰ:취.창업진로로드맵	오현옥	1	수(17:00-18:00)	IT.BT관502강의실
1	교양필수	GEN5029-12683	커리어개발Ⅰ:취.창업진로로드맵	박현석	1	월(17:00-18:00)	IT.BT관202강의실
1	교양필수	GEN5029-12684	커리어개발Ⅰ:취.창업진로로드맵	김은찬	1	수(17:00-18:00)	IT.BT관813강의실
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12548	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12549	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
1	전공기초(필수)	ITE1009-12685	C프로그래밍	박현석	3	월(13:00-15:00),목(13:00-15:00)	IT.BT관정보시스템학과실습실(703),IT.BT관609강의실
2	교양필수	CUL1138-12006	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
1	전공핵심	COE2022-11733	공학입문설계	윤수경	3	수(13:00-15:00),금(11:00-13:00)	제2공학관공학입문설계실
1	전공기초(필수)	CSE1002-11734	전산학개론	원영준	3	화(10:30-12:00),금(13:00-14:30)	IT.BT관508강의실
2	전공핵심	CSE3004-11735	오퍼레이팅시스템	원영준	3	금(15:00-16:30),금(16:30-18:00)	IT.BT관203강의실
2	전공핵심	ELE3019-11742	컴퓨터구조1	오현옥	3	월(10:30-12:00),화(10:30-12:00)	IT.BT관203강의실,IT.BT관202강의실
1	전공기초(필수)	GEN0044-11743	경영학원론	이윤기	3	화(09:00-10:30),수(09:00-10:30)	IT.BT관203강의실,IT.BT관202강의실
1	교양필수	CUL0203-12466	AI시대쓰기의힘	노희호	2	화(15:00-17:00)	제1공학관207강의실
1	교양필수	CUL0201-12498	상상과학성찰	장신혜	2	월(15:00-17:00)	제1공학관201강의실
1	교양필수	CUL0201-11737	상상과학성찰	김성희	2	월(15:00-17:00)	제1공학관103강의실
1	교양필수	CUL0203-11738	AI시대쓰기의힘	오혜정	2	화(15:00-17:00)	제1공학관206강의실
1	교양필수	GEN5029-11745	커리어개발Ⅰ:취.창업진로로드맵	이욱	1	수(17:00-18:00)	IT.BT관202강의실
2	전공핵심	I-D3018-11747	마케팅개론	안종창	3	월(09:00-10:30),수(10:30-12:00)	IT.BT관202강의실
1	전공기초(필수)	ITE1009-11748	C프로그래밍	박현석	3	월(11:00-13:00),목(11:00-13:00)	IT.BT관정보시스템학과실습실(703),IT.BT관609강의실
2	전공핵심	ITE2020-11749	웹시스템프로그래밍1	조인휘	3	월(13:00-14:30),월(14:30-16:00)	IT.BT관202강의실
2	전공핵심	ITE2024-11750	정보시스템분석	이욱	3	화(14:30-16:00),수(14:30-16:00)	IT.BT관202강의실
2	전공핵심	ITE3032-11751	객체지향프로그래밍-JAVA	KUTZNER ARNE HOLGER	3	화(13:00-14:30),목(13:00-14:30)	IT.BT관203강의실
2	교양필수	GEN6032-11746	전문학술영어	Ian Gareth Robert Jones	3	화(09:00-10:30),금(09:00-10:30)	제2공학관305강의실
2	교양필수	GEN6032-12428	전문학술영어	Esther du Plessis	3	화(09:00-10:30),금(09:00-10:30)	제2공학관306강의실
