학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
3	전공심화/전공핵심	CSE3037-10828	기계학습알고리즘	장청재	3	화(15:00-17:00),금(13:00-15:00)	IT.BT관507강의실,IT.BT관207강의실		55	
3	전공심화	CSE4020-10829	컴퓨터그래픽스	이윤상	3	월(09:00-11:00),월(11:00-13:00)	IT.BT관508강의실		80	
4	전공심화	EIS1015-10830	임베디드시스템설계	조영필	3	월(11:00-13:00),목(11:00-13:00)	IT.BT관507강의실,IT.BT관508강의실		34	
3	전공핵심/전공심화	ELE3021-10831	운영체제	강수용	3	시간미지정강좌,목(17:00-19:00)	비지정(),IT.BT관508강의실		71	
3	전공핵심	ENE4014-10832	프로그래밍언어론	조동현	3	월(14:30-16:00),수(09:00-10:30)	IT.BT관508강의실		66	
3	교양필수	GEN5026-10833	테크노경영학(스타트업종합설계)	김수진	3	목(10:30-12:00)	제1공학관401강의실,		51	공학인증구분
3	전공핵심	ITE2031-10835	컴퓨터구조론	이헌준	3	월(13:00-14:30),수(13:00-14:30)	IT.BT관508강의실,IT.BT관207강의실		83	
4	전공심화	ITE3062-10837	인간컴퓨터상호작용	김광욱	3	수(13:00-14:30),목(13:00-14:30)	IT.BT관502강의실		22	
4	전공심화	ITE4004-10839	네트워크프로토콜	최진식	3	화(13:00-14:30),수(14:30-16:00)	IT.BT관502강의실,IT.BT관501강의실		9	
4	전공심화/전공핵심	ITE4005-10840	데이터사이언스	김상욱	3	화(09:00-10:30)	비지정(),IT.BT관508강의실		29	
4	전공심화	ITE4053-10841	딥러닝및응용	최용석	3	월(09:00-10:30),수(09:00-10:30)	IT.BT관501강의실,IT.BT관207강의실		38	
4	전공심화	ITE4054-10842	캡스톤소프트웨어프로젝트1	강수용	1	시간미지정강좌	비지정()		37	
4	전공심화	ITE4075-10843	CSE융합세미나1	백은옥	2	수(16:00-18:00)	IT.BT관국제회의실(911)		117	
4	전공심화	ITE4083-10844	소프트웨어기술창업2	백필호	3	월(13:00-14:30),월(14:30-16:00)	IT.BT관607강의실		25	
